cage,number in cage,diet,date (start to end),food initial (g),food final (g),intake (total g),intake (total kcal),intake (kcal per day),intake (kcal per hour),discard,notes
2134,,,6/24/19-6/26/19,272,262.1,,,,,,
2154,,,6/24/19-6/26/19,270.9,261.7,,,,,,
2155,,,6/24/19-6/26/19,215,193.9,,,,,,
2159,1,,6/24/19-6/26/19,220.1,210.3,,,,,,
2160,1,,6/24/19-6/26/19,218.1,211.4,,,,,,
2165,,,6/24/19-6/26/19,267.1,261,,,,,,
2166,,,6/24/19-6/26/19,265.8,254,,,,,,
2176,,,6/24/19-6/26/19,263.4,196.5,,,,,,This measurement may not be accurate. One mouse from both these cages died during eye bleeds on 6/25/19. Food was not measured that day. 
2177,,,6/24/19-6/26/19,209.8,256,,,,,,
1980,,Chow,6/27/19-7/2/19,249.7,201.8,,,,,,
2237,,Chow,6/27/19-7/2/19,330.3,313.4,,,,,,
1979,,Chow,6/27/19-7/2/19,275.9,242.6,,,,,,
2133,,,6/26/19-6/28/19,214.5,204.5,,,,,,
2134,,,6/26/19-6/28/19,274,264.9,,,,,,
2154,,,6/26/19-6/28/19,272.4,264.6,,,,,,
2155,,,6/26/19-6/28/19,210.8,190.1,,,,,,
2159,1,,6/26/19-6/28/19,219.6,213.9,,,,,,
2160,1,,6/26/19-6/28/19,217.2,209.7,,,,,,
2165,,,6/26/19-6/28/19,266.6,261.4,,,,,,
2166,,,6/26/19-6/28/19,219.6,255.1,,,,,,
2176,2,,6/26/19-6/28/19,268.4,262.4,,,,,,
2177,2,,6/26/19-6/28/19,208.4,199.3,,,,,,
2133,,,6/28/19-7/2/19,220.1,197.8,,,,,,
2134,,,6/28/19-7/2/19,278.7,257.2,,,,,,
2154,,,6/28/19-7/2/19,278.2,260,,,,,,
2155,,,6/28/19-7/2/19,218.6,177.7,,,,,,
2159,1,,6/28/19-7/2/19,223.2,206.7,,,,,,
2160,1,,6/28/19-7/2/19,220.6,207.9,,,,,,
2165,,,6/28/19-7/2/19,271.1,260.2,,,,,,
2166,,,6/28/19-7/2/19,271,245.8,,,,,,
2176,2,,6/28/19-7/2/19,274.2,261.4,,,,,,
2177,2,,6/28/19-7/2/19,216.9,198.2,,,,,,
1980,,Chow,7/2/19-7/9/19,373.2,302.8,,,,,,
2237,,Chow,7/2/19-7/9/19,313.4,285.7,,,,,,
1979,,Chow,7/2/19-7/9/19,393.3,342.3,,,,,,
2176,2,,7/2/19-7/6/19,272.6,260.8,,,,,,
2177,2,,7/2/19-7/6/19,217.1,195.5,,,,,,
2176,2,,7/6/19-7/9/19,278.6,269.1,,,,,,
2177,2,,7/6/19-7/9/19,211.3,196.7,,,,,,
2176,2,,7/9/19-7/12/19,273.8,264.3,,,,,,
2177,2,,7/9/19-7/12/19,216.5,199.4,,,,,,
1980,,,7/9/19-7/12/19,217.2,189.3,,,,,,
2237,,,7/9/19-7/12/19,217.2,209.3,,,,,,
1979,,,7/9/19-7/12/19,208.5,254,,,,,,
2920,,Chow,7/9/19-7/16/19,343.8,222.9,,,,,,
2921,,Chow,7/9/19-7/16/19,299.5,212,,,,,,
2922,,Chow,7/9/19-7/16/19,406.8,306.8,,,,,,
1979,,,7/12/19-7/15/19,265.9,255,,,,,,
2237,,,7/12/19-7/15/19,215.5,206.5,,,,,,
1980,,,7/12/19-7/15/19,206.3,180.9,,,,,,
2176,2,,7/12/19-7/15/19,272.9,262.7,,,,,,
2177,2,,7/12/19-7/15/19,213.4,198.5,,,,,,
1979,,,7/15/19-7/19/19,265,264.8,These dates seem too far apart but I couldn't find other food intake data,,,,,
2237,,,7/15/19-7/19/19,215.8,208.3,,,,,,
1980,,,7/15/19-7/19/19,204.8,191.1,,,,,,
2176,2,,7/15/19-7/16/19,269.3,266.4,,,,,,
2177,2,,7/15/19-7/16/19,211.7,206.6,,,,,,
2920,,chow,7/16/19-7/23/19,334.3,134.5,,,,,,
2921,,chow,7/16/19-7/23/19,325.1,108.9,,,,,,
2922,,chow,7/16/19-7/23/19,306.8,205.9,,,,,,
2920,,,7/23/19-7/26/19,215.1,178.6,,,,,,
2921,,,7/23/19-7/26/19,207.6,204.7,,,,,,
2922,,,7/23/19-7/26/19,220.2,187.5,,,,,,
1980,,,7/19/19-7/22/19,205.5,183.3,,,,,,
2237,,,7/19/19-7/22/19,215.1,207,,,,,,
1979,,,7/19/19-7/22/19,269.4,261,,,,,,
1980,,,7/22/19-7/24/19,203.9,186.3,,,,,,
2237,,,7/22/19-7/24/19,215.1,208.2,,,,,,
1979,,,7/22/19-7/24/19,268.2,262.5,,,,,,
1980,,,7/24/19-7/26/19,206.6,189.2,,,,,,
2237,,,7/24/19-7/26/19,215,208.5,,,,,,
1979,,,7/24/19-7/26/19,262.5,263.4,,,,,,
1980,,,7/26/19-7/30/19,214.1,176.2,,,,,,
2237,,,7/26/19-8/2/19,208.5,196.5,,,,,,
1979,,,7/26/19-8/2/19,263.4,207.3,,,,,,
2920,,,7/26/19-7/30/19,204.3,164.4,,,,,,
2921,,,7/26/19-7/30/19,213.8,196.4,,,,,,
2922,,,7/26/19-7/30/19,208.6,175.3,,,,,,
2920,3,,7/30/19-8/2/19,,187.1,,,,,,forgot to write down
2921,1,,7/30/19-8/2/19,217.1,209.1,,,,,,
2922,3,,7/30/19-8/2/19,214.3,190.5,,,,,,
1980,,,7/30/19-8/2/19,198.6,175.3,,,,,,
7886,,Chow,7/30/19-8/6/19,288.4,154.4,,,,,,
7883,,Chow,7/30/19-8/6/19,285,186.6,,,,,,
7882,,Chow,7/30/19-8/6/19,303.3,175.5,,,,,,
2922,3,,8/2/19-8/6/19,201.9,170.8,,,,,,
2921,1,,8/2/19-8/6/19,209.1,200.9,,,,,,
2920,3,,8/2/19-8/6/19,205.7,275.2,,,,,,
7886,,Chow,8/6/19- 8/13/19,354.9,220.2,,,,,,
7883,,Chow,8/6/19- 8/13/19,359.4,272,,,,,,
7882,,Chow,8/6/19- 8/13/19,357.3,245.9,,,,,,
7889,,Chow,8/6/19- 8/13/19,344.5,280.5,,,,,,
7890,,Chow,8/6/19- 8/13/19,348.9,274,,,,,,
7906,,Chow,8/6/19- 8/13/19,328.4,201,,,,,,
7895,,Chow,8/6/19- 8/13/19,318.1,213,,,,,,
7907,,Chow,8/6/19- 8/13/19,372,295,,,,,,
7894,,Chow,8/6/19- 8/13/19,362.8,294,,,,,,
2922,3,,8/6/19- 8/09/19,211.6,185.2,,,,,,
