age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date
100,22131,8151,F,fl/fl; +/+,2150,Total Fat Mass,2019-06-11
114,22131,8151,F,fl/fl; +/+,21000,Body Weight,2019-06-25
114,22131,8151,F,fl/fl; +/+,2790,Total Fat Mass,2019-06-25
114,22131,8151,F,fl/fl; +/+,15820,Lean Mass,2019-06-25
120,22131,8151,F,fl/fl; +/+,21100,Body Weight,2019-07-01
120,22131,8151,F,fl/fl; +/+,3150,Total Fat Mass,2019-07-01
120,22131,8151,F,fl/fl; +/+,15900,Lean Mass,2019-07-01
75,22132,8152,F,fl/fl; +/+,19400,Body Weight,2019-05-17
75,22132,8152,F,fl/fl; +/+,2000,Total Fat Mass,2019-05-17
75,22132,8152,F,fl/fl; +/+,15240,Lean Mass,2019-05-17
93,22132,8152,F,fl/fl; +/+,21400,Body Weight,2019-06-04
93,22132,8152,F,fl/fl; +/+,2040,Total Fat Mass,2019-06-04
93,22132,8152,F,fl/fl; +/+,17100,Lean Mass,2019-06-04
100,22132,8152,F,fl/fl; +/+,21200,Body Weight,2019-06-11
107,22132,8152,F,fl/fl; +/+,5040,Total Fat Mass,2019-06-18
107,22132,8152,F,fl/fl; +/+,16110,Lean Mass,2019-06-18
107,22132,8152,F,fl/fl; +/+,22800,Body Weight,2019-06-18
100,22132,8152,F,fl/fl; +/+,16080,Lean Mass,2019-06-11
100,22132,8152,F,fl/fl; +/+,3200,Total Fat Mass,2019-06-11
114,22132,8152,F,fl/fl; +/+,23800,Body Weight,2019-06-25
114,22132,8152,F,fl/fl; +/+,6420,Total Fat Mass,2019-06-25
114,22132,8152,F,fl/fl; +/+,15390,Lean Mass,2019-06-25
120,22132,8152,F,fl/fl; +/+,24100,Body Weight,2019-07-01
120,22132,8152,F,fl/fl; +/+,6330,Total Fat Mass,2019-07-01
120,22132,8152,F,fl/fl; +/+,15450,Lean Mass,2019-07-01
75,22133,8153,F,fl/fl; +/+,20700,Body Weight,2019-05-17
75,22133,8153,F,fl/fl; +/+,2700,Total Fat Mass,2019-05-17
75,22133,8153,F,fl/fl; +/+,15290,Lean Mass,2019-05-17
93,22133,8153,F,fl/fl; +/+,21900,Body Weight,2019-06-04
93,22133,8153,F,fl/fl; +/+,2270,Total Fat Mass,2019-06-04
93,22133,8153,F,fl/fl; +/+,17590,Lean Mass,2019-06-04
100,22133,8153,F,fl/fl; +/+,21200,Body Weight,2019-06-11
107,22133,8153,F,fl/fl; +/+,2840,Total Fat Mass,2019-06-18
107,22133,8153,F,fl/fl; +/+,17030,Lean Mass,2019-06-18
107,22133,8153,F,fl/fl; +/+,22000,Body Weight,2019-06-18
100,22133,8153,F,fl/fl; +/+,16890,Lean Mass,2019-06-11
100,22133,8153,F,fl/fl; +/+,3090,Total Fat Mass,2019-06-11
114,22133,8153,F,fl/fl; +/+,23100,Body Weight,2019-06-25
114,22133,8153,F,fl/fl; +/+,3760,Total Fat Mass,2019-06-25
114,22133,8153,F,fl/fl; +/+,17230,Lean Mass,2019-06-25
120,22133,8153,F,fl/fl; +/+,23400,Body Weight,2019-07-01
120,22133,8153,F,fl/fl; +/+,3920,Total Fat Mass,2019-07-01
120,22133,8153,F,fl/fl; +/+,17610,Lean Mass,2019-07-01
75,22134,8154,F,fl/fl; +/+,23500,Body Weight,2019-05-17
75,22134,8154,F,fl/fl; +/+,2970,Total Fat Mass,2019-05-17
75,22134,8154,F,fl/fl; +/+,18180,Lean Mass,2019-05-17
93,22134,8154,F,fl/fl; +/+,24500,Body Weight,2019-06-04
93,22134,8154,F,fl/fl; +/+,2880,Total Fat Mass,2019-06-04
93,22134,8154,F,fl/fl; +/+,19480,Lean Mass,2019-06-04
100,22134,8154,F,fl/fl; +/+,24000,Body Weight,2019-06-11
107,22134,8154,F,fl/fl; +/+,3680,Total Fat Mass,2019-06-18
107,22134,8154,F,fl/fl; +/+,19060,Lean Mass,2019-06-18
107,22134,8154,F,fl/fl; +/+,25100,Body Weight,2019-06-18
100,22134,8154,F,fl/fl; +/+,18200,Lean Mass,2019-06-11
100,22134,8154,F,fl/fl; +/+,3440,Total Fat Mass,2019-06-11
114,22134,8154,F,fl/fl; +/+,26200,Body Weight,2019-06-25
114,22134,8154,F,fl/fl; +/+,4680,Total Fat Mass,2019-06-25
114,22134,8154,F,fl/fl; +/+,19100,Lean Mass,2019-06-25
120,22134,8154,F,fl/fl; +/+,26100,Body Weight,2019-07-01
120,22134,8154,F,fl/fl; +/+,4680,Total Fat Mass,2019-07-01
120,22134,8154,F,fl/fl; +/+,19060,Lean Mass,2019-07-01
66,22164,8186,M,fl/fl; +/+,19900,Body Weight,2019-05-17
66,22164,8186,M,fl/fl; +/+,1490,Total Fat Mass,2019-05-17
66,22164,8186,M,fl/fl; +/+,16110,Lean Mass,2019-05-17
84,22164,8186,M,fl/fl; +/+,20600,Body Weight,2019-06-04
84,22164,8186,M,fl/fl; +/+,1430,Total Fat Mass,2019-06-04
84,22164,8186,M,fl/fl; +/+,17150,Lean Mass,2019-06-04
66,22165,8187,M,fl/fl; +/+,25200,Body Weight,2019-05-17
66,22165,8187,M,fl/fl; +/+,2010,Total Fat Mass,2019-05-17
66,22165,8187,M,fl/fl; +/+,20480,Lean Mass,2019-05-17
84,22165,8187,M,fl/fl; +/+,25900,Body Weight,2019-06-04
84,22165,8187,M,fl/fl; +/+,2070,Total Fat Mass,2019-06-04
84,22165,8187,M,fl/fl; +/+,21470,Lean Mass,2019-06-04
91,22165,8187,M,fl/fl; +/+,26500,Body Weight,2019-06-11
91,22165,8187,M,fl/fl; +/+,4230,Total Fat Mass,2019-06-11
98,22165,8187,M,fl/fl; +/+,4850,Total Fat Mass,2019-06-18
98,22165,8187,M,fl/fl; +/+,20830,Lean Mass,2019-06-18
98,22165,8187,M,fl/fl; +/+,27700,Body Weight,2019-06-18
91,22165,8187,M,fl/fl; +/+,20340,Lean Mass,2019-06-11
105,22165,8187,M,fl/fl; +/+,29900,Body Weight,2019-06-25
105,22165,8187,M,fl/fl; +/+,7010,Total Fat Mass,2019-06-25
111,22165,8187,M,fl/fl; +/+,30400,Body Weight,2019-07-01
111,22165,8187,M,fl/fl; +/+,8400,Total Fat Mass,2019-07-01
111,22165,8187,M,fl/fl; +/+,19580,Lean Mass,2019-07-01
66,22166,8188,M,fl/fl; +/+,22900,Body Weight,2019-05-17
66,22166,8188,M,fl/fl; +/+,1330,Total Fat Mass,2019-05-17
66,22166,8188,M,fl/fl; +/+,19170,Lean Mass,2019-05-17
84,22166,8188,M,fl/fl; +/+,23600,Body Weight,2019-06-04
84,22166,8188,M,fl/fl; +/+,1630,Total Fat Mass,2019-06-04
84,22166,8188,M,fl/fl; +/+,19590,Lean Mass,2019-06-04
91,22166,8188,M,fl/fl; +/+,22700,Body Weight,2019-06-11
91,22166,8188,M,fl/fl; +/+,2190,Total Fat Mass,2019-06-11
98,22166,8188,M,fl/fl; +/+,2890,Total Fat Mass,2019-06-18
98,22166,8188,M,fl/fl; +/+,18920,Lean Mass,2019-06-18
98,22166,8188,M,fl/fl; +/+,24000,Body Weight,2019-06-18
91,22166,8188,M,fl/fl; +/+,18560,Lean Mass,2019-06-11
105,22166,8188,M,fl/fl; +/+,25100,Body Weight,2019-06-25
105,22166,8188,M,fl/fl; +/+,3610,Total Fat Mass,2019-06-25
111,22166,8188,M,fl/fl; +/+,24900,Body Weight,2019-07-01
111,22166,8188,M,fl/fl; +/+,3770,Total Fat Mass,2019-07-01
111,22166,8188,M,fl/fl; +/+,19060,Lean Mass,2019-07-01
66,22168,8190,M,fl/fl; +/+,24200,Body Weight,2019-05-17
66,22168,8190,M,fl/fl; +/+,1420,Total Fat Mass,2019-05-17
66,22168,8190,M,fl/fl; +/+,20250,Lean Mass,2019-05-17
84,22168,8190,M,fl/fl; +/+,25200,Body Weight,2019-06-04
84,22168,8190,M,fl/fl; +/+,1430,Total Fat Mass,2019-06-04
84,22168,8190,M,fl/fl; +/+,21480,Lean Mass,2019-06-04
91,22168,8190,M,fl/fl; +/+,25300,Body Weight,2019-06-11
91,22168,8190,M,fl/fl; +/+,3110,Total Fat Mass,2019-06-11
98,22168,8190,M,fl/fl; +/+,3920,Total Fat Mass,2019-06-18
98,22168,8190,M,fl/fl; +/+,20350,Lean Mass,2019-06-18
98,22168,8190,M,fl/fl; +/+,26400,Body Weight,2019-06-18
91,22168,8190,M,fl/fl; +/+,20360,Lean Mass,2019-06-11
105,22168,8190,M,fl/fl; +/+,27500,Body Weight,2019-06-25
105,22168,8190,M,fl/fl; +/+,4640,Total Fat Mass,2019-06-25
111,22168,8190,M,fl/fl; +/+,27400,Body Weight,2019-07-01
111,22168,8190,M,fl/fl; +/+,4740,Total Fat Mass,2019-07-01
111,22168,8190,M,fl/fl; +/+,20640,Lean Mass,2019-07-01
66,22169,8191,M,fl/fl; +/+,24200,Body Weight,2019-05-17
66,22169,8191,M,fl/fl; +/+,2190,Total Fat Mass,2019-05-17
66,22169,8191,M,fl/fl; +/+,19780,Lean Mass,2019-05-17
84,22169,8191,M,fl/fl; +/+,24600,Body Weight,2019-06-04
84,22169,8191,M,fl/fl; +/+,1990,Total Fat Mass,2019-06-04
84,22169,8191,M,fl/fl; +/+,20410,Lean Mass,2019-06-04
91,22169,8191,M,fl/fl; +/+,24000,Body Weight,2019-06-11
98,22169,8191,M,fl/fl; +/+,2510,Total Fat Mass,2019-06-18
98,22169,8191,M,fl/fl; +/+,20630,Lean Mass,2019-06-18
91,22169,8191,M,fl/fl; +/+,2130,Total Fat Mass,2019-06-11
98,22169,8191,M,fl/fl; +/+,25300,Body Weight,2019-06-18
91,22169,8191,M,fl/fl; +/+,19790,Lean Mass,2019-06-11
105,22169,8191,M,fl/fl; +/+,26600,Body Weight,2019-06-25
105,22169,8191,M,fl/fl; +/+,3280,Total Fat Mass,2019-06-25
105,22169,8191,M,fl/fl; +/+,20820,Lean Mass,2019-06-25
111,22169,8191,M,fl/fl; +/+,27000,Body Weight,2019-07-01
111,22169,8191,M,fl/fl; +/+,3830,Total Fat Mass,2019-07-01
111,22169,8191,M,fl/fl; +/+,20790,Lean Mass,2019-07-01
66,22170,8192,M,fl/fl; +/+,25100,Body Weight,2019-05-17
66,22170,8192,M,fl/fl; +/+,1790,Total Fat Mass,2019-05-17
66,22170,8192,M,fl/fl; +/+,21160,Lean Mass,2019-05-17
84,22170,8192,M,fl/fl; +/+,25300,Body Weight,2019-06-04
84,22170,8192,M,fl/fl; +/+,21810,Lean Mass,2019-06-04
84,22170,8192,M,fl/fl; +/+,1450,Total Fat Mass,2019-06-04
91,22170,8192,M,fl/fl; +/+,2270,Total Fat Mass,2019-06-11
98,22170,8192,M,fl/fl; +/+,2540,Total Fat Mass,2019-06-18
98,22170,8192,M,fl/fl; +/+,20740,Lean Mass,2019-06-18
98,22170,8192,M,fl/fl; +/+,25500,Body Weight,2019-06-18
91,22170,8192,M,fl/fl; +/+,20560,Lean Mass,2019-06-11
91,22170,8192,M,fl/fl; +/+,24900,Body Weight,2019-06-11
105,22170,8192,M,fl/fl; +/+,26400,Body Weight,2019-06-25
105,22170,8192,M,fl/fl; +/+,3110,Total Fat Mass,2019-06-25
105,22170,8192,M,fl/fl; +/+,20940,Lean Mass,2019-06-25
111,22170,8192,M,fl/fl; +/+,26500,Body Weight,2019-07-01
111,22170,8192,M,fl/fl; +/+,3620,Total Fat Mass,2019-07-01
111,22170,8192,M,fl/fl; +/+,20840,Lean Mass,2019-07-01
66,22171,8193,M,fl/fl; +/+,25400,Body Weight,2019-05-17
66,22171,8193,M,fl/fl; +/+,1640,Total Fat Mass,2019-05-17
66,22171,8193,M,fl/fl; +/+,21200,Lean Mass,2019-05-17
84,22171,8193,M,fl/fl; +/+,25800,Body Weight,2019-06-04
84,22171,8193,M,fl/fl; +/+,22210,Lean Mass,2019-06-04
84,22171,8193,M,fl/fl; +/+,1140,Total Fat Mass,2019-06-04
91,22171,8193,M,fl/fl; +/+,24700,Body Weight,2019-06-11
98,22171,8193,M,fl/fl; +/+,1390,Total Fat Mass,2019-06-18
98,22171,8193,M,fl/fl; +/+,21370,Lean Mass,2019-06-18
91,22171,8193,M,fl/fl; +/+,790,Total Fat Mass,2019-06-11
98,22171,8193,M,fl/fl; +/+,25000,Body Weight,2019-06-18
91,22171,8193,M,fl/fl; +/+,21250,Lean Mass,2019-06-11
105,22171,8193,M,fl/fl; +/+,25400,Body Weight,2019-06-25
105,22171,8193,M,fl/fl; +/+,1420,Total Fat Mass,2019-06-25
105,22171,8193,M,fl/fl; +/+,21000,Lean Mass,2019-06-25
111,22171,8193,M,fl/fl; +/+,25200,Body Weight,2019-07-01
111,22171,8193,M,fl/fl; +/+,1810,Total Fat Mass,2019-07-01
111,22171,8193,M,fl/fl; +/+,21020,Lean Mass,2019-07-01
66,22172,8194,M,fl/fl; +/+,24600,Body Weight,2019-05-17
66,22172,8194,M,fl/fl; +/+,1460,Total Fat Mass,2019-05-17
66,22172,8194,M,fl/fl; +/+,20630,Lean Mass,2019-05-17
84,22172,8194,M,fl/fl; +/+,25500,Body Weight,2019-06-04
84,22172,8194,M,fl/fl; +/+,1670,Total Fat Mass,2019-06-04
84,22172,8194,M,fl/fl; +/+,21750,Lean Mass,2019-06-04
98,22172,8194,M,fl/fl; +/+,2860,Total Fat Mass,2019-06-18
98,22172,8194,M,fl/fl; +/+,20990,Lean Mass,2019-06-18
98,22172,8194,M,fl/fl; +/+,26200,Body Weight,2019-06-18
91,22172,8194,M,fl/fl; +/+,25400,Body Weight,2019-06-11
91,22172,8194,M,fl/fl; +/+,2090,Total Fat Mass,2019-06-11
91,22172,8194,M,fl/fl; +/+,21050,Lean Mass,2019-06-11
105,22172,8194,M,fl/fl; +/+,27200,Body Weight,2019-06-25
105,22172,8194,M,fl/fl; +/+,3570,Total Fat Mass,2019-06-25
105,22172,8194,M,fl/fl; +/+,21260,Lean Mass,2019-06-25
111,22172,8194,M,fl/fl; +/+,27800,Body Weight,2019-07-01
111,22172,8194,M,fl/fl; +/+,3760,Total Fat Mass,2019-07-01
111,22172,8194,M,fl/fl; +/+,21790,Lean Mass,2019-07-01
66,22173,8195,F,fl/fl; +/+,19500,Body Weight,2019-05-17
66,22173,8195,F,fl/fl; +/+,1530,Total Fat Mass,2019-05-17
66,22173,8195,F,fl/fl; +/+,15820,Lean Mass,2019-05-17
84,22173,8195,F,fl/fl; +/+,20400,Body Weight,2019-06-04
84,22173,8195,F,fl/fl; +/+,1620,Total Fat Mass,2019-06-04
84,22173,8195,F,fl/fl; +/+,17260,Lean Mass,2019-06-04
63,22241,8263,M,fl/fl; +/+,27400,Body Weight,2019-05-17
63,22241,8263,M,fl/fl; +/+,1820,Total Fat Mass,2019-05-17
63,22241,8263,M,fl/fl; +/+,23040,Lean Mass,2019-05-17
81,22241,8263,M,fl/fl; +/+,27400,Body Weight,2019-06-04
81,22241,8263,M,fl/fl; +/+,1700,Total Fat Mass,2019-06-04
81,22241,8263,M,fl/fl; +/+,23250,Lean Mass,2019-06-04
88,22241,8263,M,fl/fl; +/+,27800,Body Weight,2019-06-11
95,22241,8263,M,fl/fl; +/+,3450,Total Fat Mass,2019-06-18
95,22241,8263,M,fl/fl; +/+,22540,Lean Mass,2019-06-18
95,22241,8263,M,fl/fl; +/+,28500,Body Weight,2019-06-18
88,22241,8263,M,fl/fl; +/+,22170,Lean Mass,2019-06-11
88,22241,8263,M,fl/fl; +/+,2550,Total Fat Mass,2019-06-11
102,22241,8263,M,fl/fl; +/+,22500,Body Weight,2019-06-25
102,22241,8263,M,fl/fl; +/+,3570,Total Fat Mass,2019-06-25
102,22241,8263,M,fl/fl; +/+,4420,Total Fat Mass,2019-06-25
102,22241,8263,M,fl/fl; +/+,22680,Lean Mass,2019-06-25
108,22241,8263,M,fl/fl; +/+,30000,Body Weight,2019-07-01
108,22241,8263,M,fl/fl; +/+,4820,Total Fat Mass,2019-07-01
108,22241,8263,M,fl/fl; +/+,22930,Lean Mass,2019-07-01
63,22242,8264,M,fl/fl; +/+,26600,Body Weight,2019-05-17
63,22242,8264,M,fl/fl; +/+,1450,Total Fat Mass,2019-05-17
63,22242,8264,M,fl/fl; +/+,22750,Lean Mass,2019-05-17
81,22242,8264,M,fl/fl; +/+,27200,Body Weight,2019-06-04
81,22242,8264,M,fl/fl; +/+,1600,Total Fat Mass,2019-06-04
81,22242,8264,M,fl/fl; +/+,23270,Lean Mass,2019-06-04
63,22243,8265,F,fl/fl; +/+,19700,Body Weight,2019-05-17
63,22243,8265,F,fl/fl; +/+,1890,Total Fat Mass,2019-05-17
63,22243,8265,F,fl/fl; +/+,15610,Lean Mass,2019-05-17
81,22243,8265,F,fl/fl; +/+,19400,Body Weight,2019-06-04
81,22243,8265,F,fl/fl; +/+,1730,Total Fat Mass,2019-06-04
81,22243,8265,F,fl/fl; +/+,16340,Lean Mass,2019-06-04
88,22243,8265,F,fl/fl; +/+,19400,Body Weight,2019-06-11
88,22243,8265,F,fl/fl; +/+,1730,Total Fat Mass,2019-06-11
95,22243,8265,F,fl/fl; +/+,1400,Total Fat Mass,2019-06-18
95,22243,8265,F,fl/fl; +/+,15770,Lean Mass,2019-06-18
95,22243,8265,F,fl/fl; +/+,19300,Body Weight,2019-06-18
88,22243,8265,F,fl/fl; +/+,15380,Lean Mass,2019-06-11
102,22243,8265,F,fl/fl; +/+,19200,Body Weight,2019-06-25
102,22243,8265,F,fl/fl; +/+,1540,Total Fat Mass,2019-06-25
102,22243,8265,F,fl/fl; +/+,15680,Lean Mass,2019-06-25
102,22243,8265,F,fl/fl; +/+,15680,Lean Mass,2019-06-25
108,22243,8265,F,fl/fl; +/+,19900,Body Weight,2019-07-01
108,22243,8265,F,fl/fl; +/+,2070,Total Fat Mass,2019-07-01
108,22243,8265,F,fl/fl; +/+,15780,Lean Mass,2019-07-01
63,22244,8266,F,fl/fl; +/+,21100,Body Weight,2019-05-17
63,22244,8266,F,fl/fl; +/+,2300,Total Fat Mass,2019-05-17
63,22244,8266,F,fl/fl; +/+,16810,Lean Mass,2019-05-17
81,22244,8266,F,fl/fl; +/+,21400,Body Weight,2019-06-04
81,22244,8266,F,fl/fl; +/+,2380,Total Fat Mass,2019-06-04
81,22244,8266,F,fl/fl; +/+,17520,Lean Mass,2019-06-04
56,22262,8284,M,fl/fl; +/+,1590,Total Fat Mass,2019-05-17
56,22262,8284,M,fl/fl; +/+,19150,Lean Mass,2019-05-17
74,22262,8284,M,fl/fl; +/+,24000,Body Weight,2019-06-04
74,22262,8284,M,fl/fl; +/+,1940,Total Fat Mass,2019-06-04
74,22262,8284,M,fl/fl; +/+,19990,Lean Mass,2019-06-04
81,22262,8284,M,fl/fl; +/+,24500,Body Weight,2019-06-11
81,22262,8284,M,fl/fl; +/+,3350,Total Fat Mass,2019-06-11
88,22262,8284,M,fl/fl; +/+,5150,Total Fat Mass,2019-06-18
88,22262,8284,M,fl/fl; +/+,18880,Lean Mass,2019-06-18
88,22262,8284,M,fl/fl; +/+,26000,Body Weight,2019-06-18
81,22262,8284,M,fl/fl; +/+,19140,Lean Mass,2019-06-11
56,22262,8284,M,fl/fl; +/+,1590,Total Fat Mass,2019-05-17
95,22262,8284,M,fl/fl; +/+,27300,Body Weight,2019-06-25
95,22262,8284,M,fl/fl; +/+,27300,Body Weight,2019-06-25
95,22262,8284,M,fl/fl; +/+,6430,Total Fat Mass,2019-06-25
95,22262,8284,M,fl/fl; +/+,18230,Lean Mass,2019-06-25
101,22262,8284,M,fl/fl; +/+,27900,Body Weight,2019-07-01
101,22262,8284,M,fl/fl; +/+,6920,Total Fat Mass,2019-07-01
101,22262,8284,M,fl/fl; +/+,18490,Lean Mass,2019-07-01
56,22263,8285,M,fl/fl; +/+,22400,Body Weight,2019-05-17
56,22263,8285,M,fl/fl; +/+,1030,Total Fat Mass,2019-05-17
56,22263,8285,M,fl/fl; +/+,19120,Lean Mass,2019-05-17
74,22263,8285,M,fl/fl; +/+,22400,Body Weight,2019-06-04
74,22263,8285,M,fl/fl; +/+,1370,Total Fat Mass,2019-06-04
74,22263,8285,M,fl/fl; +/+,19720,Lean Mass,2019-06-04
81,22263,8285,M,fl/fl; +/+,22900,Body Weight,2019-06-11
81,22263,8285,M,fl/fl; +/+,2580,Total Fat Mass,2019-06-11
88,22263,8285,M,fl/fl; +/+,4470,Total Fat Mass,2019-06-18
88,22263,8285,M,fl/fl; +/+,18490,Lean Mass,2019-06-18
88,22263,8285,M,fl/fl; +/+,24700,Body Weight,2019-06-18
81,22263,8285,M,fl/fl; +/+,18220,Lean Mass,2019-06-11
95,22263,8285,M,fl/fl; +/+,26100,Body Weight,2019-06-25
95,22263,8285,M,fl/fl; +/+,6080,Total Fat Mass,2019-06-25
95,22263,8285,M,fl/fl; +/+,17900,Lean Mass,2019-06-25
101,22263,8285,M,fl/fl; +/+,26400,Body Weight,2019-07-01
101,22263,8285,M,fl/fl; +/+,6730,Total Fat Mass,2019-07-01
101,22263,8285,M,fl/fl; +/+,17730,Lean Mass,2019-07-01
56,22264,8286,F,fl/fl; +/+,19500,Body Weight,2019-05-17
56,22264,8286,F,fl/fl; +/+,1860,Total Fat Mass,2019-05-17
56,22264,8286,F,fl/fl; +/+,15790,Lean Mass,2019-05-17
74,22264,8286,F,fl/fl; +/+,19900,Body Weight,2019-06-04
74,22264,8286,F,fl/fl; +/+,1650,Total Fat Mass,2019-06-04
74,22264,8286,F,fl/fl; +/+,16630,Lean Mass,2019-06-04
81,22264,8286,F,fl/fl; +/+,19800,Body Weight,2019-06-11
88,22264,8286,F,fl/fl; +/+,3620,Total Fat Mass,2019-06-18
88,22264,8286,F,fl/fl; +/+,15470,Lean Mass,2019-06-18
88,22264,8286,F,fl/fl; +/+,21000,Body Weight,2019-06-18
81,22264,8286,F,fl/fl; +/+,15450,Lean Mass,2019-06-11
81,22264,8286,F,fl/fl; +/+,2620,Total Fat Mass,2019-06-11
95,22264,8286,F,fl/fl; +/+,22100,Body Weight,2019-06-25
95,22264,8286,F,fl/fl; +/+,5150,Total Fat Mass,2019-06-25
95,22264,8286,F,fl/fl; +/+,15180,Lean Mass,2019-06-25
101,22264,8286,F,fl/fl; +/+,22400,Body Weight,2019-07-01
101,22264,8286,F,fl/fl; +/+,4980,Total Fat Mass,2019-07-01
101,22264,8286,F,fl/fl; +/+,15550,Lean Mass,2019-07-01
56,22265,8287,F,fl/fl; +/+,19700,Body Weight,2019-05-17
56,22265,8287,F,fl/fl; +/+,930,Total Fat Mass,2019-05-17
56,22265,8287,F,fl/fl; +/+,16740,Lean Mass,2019-05-17
74,22265,8287,F,fl/fl; +/+,20300,Body Weight,2019-06-04
74,22265,8287,F,fl/fl; +/+,2110,Total Fat Mass,2019-06-04
74,22265,8287,F,fl/fl; +/+,16600,Lean Mass,2019-06-04
81,22265,8287,F,fl/fl; +/+,21000,Body Weight,2019-06-11
88,22265,8287,F,fl/fl; +/+,4310,Total Fat Mass,2019-06-18
88,22265,8287,F,fl/fl; +/+,16080,Lean Mass,2019-06-18
88,22265,8287,F,fl/fl; +/+,22300,Body Weight,2019-06-18
81,22265,8287,F,fl/fl; +/+,15890,Lean Mass,2019-06-11
81,22265,8287,F,fl/fl; +/+,3240,Total Fat Mass,2019-06-11
95,22265,8287,F,fl/fl; +/+,23400,Body Weight,2019-06-25
95,22265,8287,F,fl/fl; +/+,5870,Total Fat Mass,2019-06-25
95,22265,8287,F,fl/fl; +/+,15700,Lean Mass,2019-06-25
101,22265,8287,F,fl/fl; +/+,20100,Body Weight,2019-07-01
101,22265,8287,F,fl/fl; +/+,2900,Total Fat Mass,2019-07-01
101,22265,8287,F,fl/fl; +/+,15400,Lean Mass,2019-07-01
56,22266,8288,F,fl/fl; +/+,18800,Body Weight,2019-05-17
56,22266,8288,F,fl/fl; +/+,1550,Total Fat Mass,2019-05-17
56,22266,8288,F,fl/fl; +/+,15140,Lean Mass,2019-05-17
74,22266,8288,F,fl/fl; +/+,19800,Body Weight,2019-06-04
74,22266,8288,F,fl/fl; +/+,1650,Total Fat Mass,2019-06-04
74,22266,8288,F,fl/fl; +/+,16500,Lean Mass,2019-06-04
81,22266,8288,F,fl/fl; +/+,19300,Body Weight,2019-06-11
