"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSMUSG00000027651",135.921294734249,0.169213055391052,0.124099770569279,1.36352432091395,0.172717324840738,0.625202339931285,"Rprd1b"
"ENSMUSG00000027652",432.104151145688,0.146311449971352,0.103608470934629,1.41215721698727,0.15790367457854,0.608230211473764,"Ralgapb"
"ENSMUSG00000027654",3.13518775513784,-0.384397901062952,0.711112772265477,-0.540558285626525,0.5888120766135,0.893325962240788,"Fam83d"
"ENSMUSG00000027655",111.339859729681,-0.0166729504862688,0.127345311768394,-0.130927085220007,0.895832988200414,0.981410670369223,"Dhx35"
"ENSMUSG00000027656",39.8371236147012,0.82108496702632,0.314290496790989,2.61250332227628,0.00898818187181663,0.202077228366647,"Ccn5"
"ENSMUSG00000027660",126.063574165341,0.375999804895739,0.278198577987909,1.35155185772402,0.176518719930601,0.628459928769984,"Skil"
"ENSMUSG00000027661",4.97391381645545,0.838455575165217,0.740148926351324,1.13282009243533,0.257289811969518,0.709023183596246,"Slc2a10"
"ENSMUSG00000027663",114.176676681476,-0.0440667183412232,0.21120440352824,-0.208644884316207,0.83472546899256,0.968306116863885,"Zmat3"
"ENSMUSG00000027665",725.161283529164,0.0420725900198282,0.0857529673732026,0.490625471148135,0.623691367821545,0.906803909389817,"Pik3ca"
"ENSMUSG00000027667",322.449412262507,-0.370091886754133,0.194127526345424,-1.90643693721005,0.0565935402570783,0.418929258348349,"Zfp639"
"ENSMUSG00000027668",1361.21538076806,0.0488236137367687,0.0900129336977457,0.542406649034609,0.587538400217239,0.893019777367886,"Mfn1"
"ENSMUSG00000027669",708.054882577944,-0.530838977238481,0.229905166371833,-2.30894757875922,0.0209464903332751,0.288492147444505,"Gnb4"
"ENSMUSG00000027670",30.3579394154502,-0.481504809551603,0.26346031047653,-1.82761801457187,0.0676069002352529,0.446286549127542,"Ocstamp"
"ENSMUSG00000027671",488.192491905726,0.117097675016297,0.0839214814573646,1.39532421238044,0.162918093903142,0.614179133699168,"Actl6a"
"ENSMUSG00000027673",1288.17773984671,-0.173254357727999,0.103808083144914,-1.66898715860246,0.0951199247669665,0.51093193969867,"Ndufb5"
"ENSMUSG00000027674",0.872010009487166,-0.864385746417717,1.38366190195346,-0.624708785576428,0.532162205904074,NA,"Pex5l"
"ENSMUSG00000027676",3.31434125163835,1.75481373162605,0.863599135432812,2.03197717508898,0.042155966697132,0.366518725647836,"Ccdc39"
"ENSMUSG00000027677",655.790223217685,0.0559618456687265,0.0964160892169631,0.580420198778201,0.561631287132021,0.881826390620349,"Ttc14"
"ENSMUSG00000027678",723.184545787806,0.00167030258257366,0.137428651840643,0.0121539617845519,0.990302780283695,0.998080880518935,"Ncoa3"
"ENSMUSG00000027679",110.762326739473,-0.105962706669296,0.131721134816542,-0.804447265177897,0.421138713551281,0.815266619874245,"Dnajc19"
"ENSMUSG00000027680",1083.73564530737,0.195606046291973,0.0805035845907061,2.42978057792666,0.0151079661420261,0.260278189130641,"Fxr1"
"ENSMUSG00000027684",26.7583128703312,0.0813361578999905,0.405400654887242,0.20063154047596,0.840986693768119,0.969157056324311,"Mecom"
"ENSMUSG00000027690",0.0982401577150202,-0.756158477080762,3.14975185020746,-0.240069222288402,0.81027659363197,NA,"Slc2a2"
"ENSMUSG00000027692",523.243536285204,0.184333916823309,0.149627799387364,1.23194966161399,0.217967888608757,0.670783980850019,"Tnik"
"ENSMUSG00000027695",702.494196571298,0.15183925577364,0.207328868212521,0.732359449423118,0.463949202435491,0.839380612900125,"Pld1"
"ENSMUSG00000027698",24.4460205614773,-0.0210302477522867,0.314000371208256,-0.0669752321354381,0.946601420809114,0.989973604177128,"Nceh1"
"ENSMUSG00000027699",9.57229367316317,-0.138551277650532,0.546214804086093,-0.253657126489552,0.799760458995293,0.959052744284495,"Ect2"
"ENSMUSG00000027702",0.0627217516043987,0.301804267142092,3.14975185020746,0.0958184268142309,0.923664782215651,NA,"Lrrc34"
"ENSMUSG00000027703",0.085124267753732,-0.756158477080761,3.14975185020746,-0.240069222288402,0.81027659363197,NA,"Lrriq4"
"ENSMUSG00000027706",2938.15916008865,-0.103634468975058,0.0832664710931394,-1.24461223844992,0.213274319521731,0.667735488134028,"Sec62"
"ENSMUSG00000027708",309.482268555938,0.236849582967144,0.141116104921063,1.67840221425918,0.093268605648372,0.508106159649695,"Dcun1d1"
"ENSMUSG00000027709",817.323839459192,0.302998389818271,0.148253172228017,2.04379026272875,0.0409742715261087,0.364198631497104,"Mccc1"
"ENSMUSG00000027710",1270.03102363505,0.0635921738690922,0.152716480313596,0.41640675412705,0.67711238696462,0.925575484489743,"Acad9"
"ENSMUSG00000027712",965.990991550993,-0.166012259497335,0.107170236994939,-1.54905190239688,0.121369243749657,0.559525328087172,"Anxa5"
"ENSMUSG00000027713",9.40102843163308,0.393015591519864,0.553771444897614,0.709707217916462,0.477885715242057,0.844981522675285,"1810062G17Rik"
