ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
Natural killer cell,Natural killer cell,72,-0.6055217625403035,-1.8326493550824563,1.2809236569088437e-4,0.0018398721617417938,0.0013238254061833027,960,"tags=35%, list=7%, signal=33%",4818/969/11126/2833/9760/5788/916/925/4063/3558/8320/3600/7535/3575/920/50615/114836/919/914/939/915/2322/6402/1235/930
Plasmacytoid dendritic cell,Plasmacytoid dendritic cell,297,-0.4286911346613909,-1.5508266576353293,1.4201561173033308e-4,0.0018698722211160522,0.0013454110584978926,2313,"tags=24%, list=16%, signal=21%",27352/7804/8459/79980/6867/9725/23400/64420/9709/7098/199786/2683/3682/55512/80380/860/3512/79713/27128/283420/4855/84901/7128/54106/4605/122618/133418/84879/6484/653361/4125/941/5031/7434/2824/112399/91319/8237/54847/8295/3394/51237/191/6039/4602/2833/3662/5802/84174/9308/1880/84433/5788/489/925/4063/2205/920/9476/202309/958/192683/5790/29993/255231/6402/81539/4050/2529/1236/6689/23316
Marginal zone B cell,Marginal zone B cell,12,-0.8755885548736232,-1.8415447808617826,1.6217164962790834e-4,0.0019710092800930396,0.001418181227515312,641,"tags=42%, list=5%, signal=40%",5788/959/115650/5079/1380
Exhausted T cell,Exhausted T cell,14,-0.8555103253437729,-1.862788827744739,1.9228115220216687e-4,0.002170030146281598,0.0015613807847995507,1264,"tags=71%, list=9%, signal=65%",5133/201633/11126/916/925/1493/10225/8320/920/151888
Specialist antigen presenting cell,Specialist antigen presenting cell,42,-0.6790237455394403,-1.8538861292162943,2.350406773518432e-4,0.002475761801439415,0.001781360923087654,911,"tags=33%, list=6%, signal=31%",941/6614/962/2833/9308/5788/3575/958/2322/30835/921/1235/2208/1380
M2 macrophage,M2 macrophage,17,-0.8110877112407092,-1.8651532351720685,2.926145346019952e-4,0.0027778293254583663,0.0019987046445669792,818,"tags=35%, list=6%, signal=33%",3662/7852/2205/3586/30835/2208
Follicular helper (Tfh) T cell,Follicular helper (Tfh) T cell,20,-0.7787386177673088,-1.8338859960738465,2.988803704607103e-4,0.0027778293254583663,0.0019987046445669792,1264,"tags=70%, list=9%, signal=64%",10538/3569/3570/5133/59067/2833/3662/916/7292/920/959/6504/643/10563
Neural progenitor cell,Neural progenitor cell,150,-0.496822455607396,-1.6774171504605955,4.476157695844365e-4,0.003929071755241165,0.002827046965796441,2379,"tags=40%, list=17%, signal=34%",6119/9586/4085/10950/10460/699/10615/54331/11065/259266/6657/5864/64105/84189/991/4172/9839/983/22974/9133/3148/6241/3832/3835/151648/55839/55320/4804/51203/29089/23421/4208/3070/890/10642/9493/55771/4288/11004/79019/2596/83540/10403/9833/81575/4174/2670/332/9768/29128/9212/7153/9787/9055/8320/10051/63967/54478/1063/27065
Megakaryocyte erythroid cell,Megakaryocyte erythroid cell,68,-0.5904849062222727,-1.781833653596908,5.652740332946924e-4,0.004700699855819021,0.003382249063480708,911,"tags=34%, list=6%, signal=32%",962/969/11126/2833/9308/5788/916/925/1493/4063/7535/3575/920/50615/914/939/2322/973/6402/921/1235/643/2208
Naive CD4+ T cell,Naive CD4+ T cell,29,-0.7118644258198389,-1.8046520571253521,8.686226212202055e-4,0.0068621187076396235,0.004937433846935906,1491,"tags=34%, list=11%, signal=31%",54674/7294/155038/1880/5788/3575/920/9840/6402/1236
CD8+ T cell,CD8+ T cell,19,-0.7845386664557881,-1.8356381721358401,0.0010133168935312165,0.007624003294187247,0.005485625288289293,1389,"tags=68%, list=10%, signal=62%",6352/201633/4818/916/925/3575/920/926/914/939/943/915/921
Multilymphoid progenitor cell,Multilymphoid progenitor cell,443,-0.37489741365037216,-1.3992544858459153,0.0011746586657263266,0.008072733115211768,0.005808495512610733,2344,"tags=22%, list=17%, signal=19%",90007/7133/126308/54535/59339/51177/1201/203259/25865/10615/64420/9709/1606/23492/147179/1438/3383/199786/51341/9696/9780/1759/6482/79661/81610/9181/338692/79705/5187/11040/3202/56905/415116/409/26051/10677/7128/9138/9450/79728/55544/219902/11280/55686/283234/864/10270/132299/9046/4208/81788/6494/3689/9363/1032/11341/6793/3627/51557/51466/55824/3899/11033/5452/84329/147138/814/399/8029/3458/54440/57010/64926/3575/1844/11226/26999/3586/393/8294/9744/138429/80008/100130742/254050/85236/3932/2038/923/253559/973/81539/4897/4050/50852/951/2864/51176
