"","1415-NEH-1","1415-NEH-10","1415-NEH-11","1415-NEH-2","1415-NEH-3","1415-NEH-4","1415-NEH-5","1415-NEH-6","1415-NEH-7","1415-NEH-8","1415-NEH-9"
"ENSMUSG00000029168",1.37929901724589,0,0.884812027810554,0,0,1.28927523965356,1.0241692508773,0,0,0.937300087217975,1.13862596830114
"ENSMUSG00000029169",1264.51842517731,1042.0258358209,1256.83644341991,1253.70790237438,1154.83492083658,1045.64303088012,1189.40288842381,1114.42577175573,1269.62304528334,1184.55794857801,1391.80326757745
"ENSMUSG00000029171",300.700762368802,303.125673315088,209.285493420194,232.541269424157,324.751194867473,358.716267168975,250.633454005635,395.986114426219,264.423813828535,306.270132507571,289.078047218098
"ENSMUSG00000029173",103.002582453217,107.478598095439,111.590069027792,101.781206515718,117.476172410143,103.314950408305,106.293897462342,108.337825099866,104.915922337921,111.886320644077,134.210194386259
"ENSMUSG00000029174",142.664827645052,141.254272308661,101.447338284771,72.1675655015927,142.806580289169,141.493794745096,112.833016854774,112.241003301968,88.3996125979481,97.8700866160892,128.895180661606
"ENSMUSG00000029175",268.077796751727,237.574212191014,274.346536581868,216.519647648373,271.387192384797,266.756567695642,198.152533178457,205.405708194732,226.502320789093,234.292109973958,248.028985727252
"ENSMUSG00000029176",397.344703806874,442.243088939367,384.38499094152,476.529957903036,504.291938734821,375.553620719837,332.999770040465,435.611826899118,637.47953250623,329.30806762767,592.673554463607
"ENSMUSG00000029177",6.22850252975721,27.8691233719602,7.66079388073626,5.29972427155294,12.0314117628886,13.2807067668804,103.836114843546,11.5713651999101,8.7571782173538,12.1453383048809,4.75986222755213
"ENSMUSG00000029178",731.957896994573,1217.70066239927,1111.6731278889,1118.53498101222,1598.38723385401,464.008317297821,1783.60702495058,1518.95377930734,1149.55030120443,1471.42291125764,1165.04753503037
"ENSMUSG00000029179",59.8722568408824,68.8418110431203,58.4280461441763,81.7737445571689,63.7120174380706,66.8191276267725,72.5751178335277,67.7618372197486,75.904864581275,74.1974789785507,54.8659939731845
"ENSMUSG00000029182",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029184",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029185",307.186599103153,403.110864609805,237.551969302324,306.951668550804,311.807300492222,371.418077601076,313.771765647488,532.782825882627,258.803470641448,282.454607573534,336.480090282816
"ENSMUSG00000029186",178.346628866093,113.015839214158,204.396716403961,141.857411324749,292.702221280278,124.206215852295,176.208793589805,189.708156168877,138.134352810291,209.506212589295,90.3411759996329
"ENSMUSG00000029188",23842.2261115118,26288.2935083052,22518.4845809001,31135.721820784,16069.9657311379,27471.0851911581,21505.1144707936,41795.3745689065,32840.4589558009,23621.6790886663,29518.3360835885
"ENSMUSG00000029189",47.1133973679786,1.0763016656687,2.66333385045824,6.5319357568277,12.653153866596,0,2.04152023163162,0,0.945969749931113,4.6818409624595,10.2938393122458
"ENSMUSG00000029190",695.252359396232,456.269249769466,662.353892321208,234.975515951307,687.747311664558,645.833729352204,474.860081673601,392.323519730656,447.649532634824,465.035019625234,732.912475892421
"ENSMUSG00000029191",551.343295048257,783.190293829581,624.454478056227,648.885910894456,611.162914491604,699.836477627114,572.195650709111,593.456516387826,642.039816842988,731.701593008082,525.708055625651
"ENSMUSG00000029192",602.252060409479,548.152382454016,575.382265891608,1119.08292273495,518.108895394127,502.435008677816,707.631943054544,772.734553468437,656.103980095868,678.205595079652,705.394430206223
"ENSMUSG00000029193",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029195",66.8230241634105,38.1384424801749,41.8052470915347,13.9002998654103,87.0326687848744,35.1799134915172,51.2938508737898,48.5062656111801,49.9583268843394,42.3663420031802,32.5155462731715
"ENSMUSG00000029196",236.807593578519,253.469761092193,170.610566083362,167.413959582348,157.154696099376,274.034614375785,229.477370238175,232.794344048651,251.611433839151,222.915075157402,323.440704433352
"ENSMUSG00000029198",747.592638680922,688.227209049576,749.659042276041,723.638976063272,629.066521006557,746.877240494517,685.230085611209,704.954270409184,694.77584603407,657.519716326491,709.275578912976
"ENSMUSG00000029199",385.023543465979,441.505409884705,423.417825272612,418.099803065062,428.015461431907,432.241175606366,430.019265275436,446.800817622365,433.458782932504,371.463151035753,450.947441732036
"ENSMUSG00000029201",347.515012931245,270.005762874229,309.10448568176,256.124017130533,315.555078158611,176.64551677088,246.110114988501,249.899797300375,295.084150725672,258.2509320674,355.044256954606
"ENSMUSG00000029202",1034.79071482043,871.354867400724,990.075439817765,977.337549653309,749.056019819796,891.889166425093,1160.24170267032,927.100527873109,1021.38398922575,1048.95969876269,1112.11072052909
"ENSMUSG00000029203",1018.0393387598,1343.04941793466,1136.86138831275,1224.20521949238,945.8369770907,1142.18786632692,1118.44782260292,1117.63039653566,1057.94483171534,1057.90072615311,1202.36623847221
"ENSMUSG00000029204",24.0439336561458,83.2722326701229,16.6705051496441,14.3241860890092,12.8155449726307,46.7400024429501,9.35028821079984,4.87620235270486,14.9027848044725,21.1438824185022,8.07461611211012
"ENSMUSG00000029205",0.591529599439152,0.928409359239272,0,0,0,1.11436685100931,0.885331724028598,0.857182282575248,1.98129202502136,0,0
"ENSMUSG00000029206",0.684129800786751,5.46644012020029,0.890135746035744,1.09675702828697,2.09332047187633,2.56880825391952,0,0.983854241001038,1.86306371140915,0.946978359490734,1.14572842612568
"ENSMUSG00000029207",39.8449571901566,29.6483087880949,40.4284791057368,46.1471348860016,55.3318695382179,149.818100126341,94.9424841301841,42.3252136270597,47.9407647611612,47.0102868231958,61.6945115380796
"ENSMUSG00000029208",217.151118964281,269.952816039028,173.774040831656,194.66935673952,209.638327816006,199.125819397935,213.592850783469,222.913329214097,220.292897875235,183.617473321732,214.800866788379
"ENSMUSG00000029209",52.5001754259171,35.9775207369703,37.0393043126942,45.4595860856858,42.7834102887831,57.9760628911023,32.7815858361656,54.2844980578296,59.2007031617076,54.3371443630803,41.0825039988108
"ENSMUSG00000029211",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029212",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029213",138.400022503869,152.721211155973,137.755601330395,143.671703424032,183.73155753721,117.604889780824,160.841927561987,150.314722475333,151.335986463046,135.829271519143,139.376048493491
"ENSMUSG00000029217",883.457239353777,238.147929599367,226.502270478366,1186.6694736747,2356.23145666266,186.61510442884,215.60387699832,188.585432787256,263.82248342963,266.082980673375,220.475684415396
"ENSMUSG00000029219",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029221",459.377463186728,486.437816571155,432.299843264745,432.068480227905,417.782616117603,475.311800609426,458.689853947475,546.500103464505,463.518237033447,453.159970007396,544.659290405771
"ENSMUSG00000029223",2.68077420533765,5.31815444611759,7.02928271242878,5.5115890113907,6.37689348821017,14.2281881347896,4.13354866695664,5.90018183295576,6.55584096028488,12.4677824396274,5.7714203282878
"ENSMUSG00000029227",527.744968948221,466.177398687942,510.455282375558,508.119868436853,442.176775615648,487.770018184167,492.87053194392,480.65288403946,547.253799605144,493.762679031063,547.362994542986
"ENSMUSG00000029228",123.01011962567,148.593825628981,358.149863734206,410.735327282174,241.140568649832,127.172828937157,173.915850949385,191.336626832621,302.738927511785,262.620875267885,307.114979694239
"ENSMUSG00000029229",187.507442434332,181.63606279406,264.292232496707,215.471639736263,371.805077180058,173.667094880586,240.466908006607,227.330295669241,219.42815063666,345.368868725625,148.829461274751
"ENSMUSG00000029231",90.709713091248,66.2093606507775,62.8638899008577,38.0838270831001,113.431634358388,74.3581943122112,42.2491723940894,147.700547041728,91.3076259520728,55.1531293921823,56.7676613412185
"ENSMUSG00000029233",310.529100588105,389.424618136195,394.868240907652,489.692368564285,315.352179072524,396.531630709365,419.95445467462,405.815855195006,451.897119709775,425.542782030284,386.348657087871
