"","external_gene_name","log2FC_TSC","pval_TSC","padj_TSC","log2FC_KD","pval_KD","padj_KD","Ratio"
"59","Med6",0.385030677974217,0.0232669418215204,0.0752486512752335,1.50699373759828,0.00182578641935662,0.00867243741963168,0.25549587126211
"60","Prkd1",-0.536919595291515,0.0301582855803298,0.0923347909142728,-1.09842092542682,0.000518180716557731,0.00378685121264157,0.488810421271682
"61","Flii",0.279168171205137,0.00821221310198795,0.0331143738927371,1.01020621187918,0.0249866841937284,0.0577909971190432,0.27634770794552
"62","Plin4",-0.593341313954152,0.00964050053373744,0.0376235857824172,-0.56798059054533,0.00153531549203409,0.00772212155751419,1.04465068671532
"63","Mcm2",-1.09404414966956,0.000488512440567274,0.00312353336330795,-0.696805577871006,0.0121887001062036,0.0336029352268273,1.57008523527074
"64","Lamb1",0.363017329641156,0.0154572315231236,0.0545935574134345,0.930668583930872,0.000719437937465522,0.00468621756464941,0.39006079705396
"65","Apoe",0.621619865820565,0.00557852054721266,0.0239714481457236,0.450638957202578,0.00841274882811909,0.0257218754590875,1.37941883604423
"66","Prkar2b",-1.28152858269757,0.0195657133806989,0.065760588640545,-2.83542475496379,0.00267401556749833,0.0113357247964792,0.451970584108813
"67","Cdkn1b",-0.507357937993899,0.00024910991658555,0.00176669171514601,-2.35550631422779,0.0237039952027356,0.0556085247146204,0.215392306498753
"68","Rab8a",0.337907542555313,0.00515551512398481,0.0224957354995941,1.22785989327893,0.000345032126480373,0.00292488310698855,0.275200407151463
"69","Cdk12",-0.285055904404491,0.016236707131531,0.056729327193772,-1.97566759869548,0.000130358663162168,0.00164134731079758,0.14428333217223
"70","Pafah1b2",0.483898871508245,0.00000214557567814971,0.0000270868899562371,0.565331807147741,0.00887960400043182,0.026750318617559,0.855955503281607
"71","Glg1",0.381889280479838,0.0000459144715052771,0.000408319475520323,0.38131544711913,0.0118256232457636,0.0328719527893487,1.00150487834952
"72","Mob3a",0.838994505086568,0.00381393442451432,0.0176709852186048,0.569549352575449,0.009686582323377,0.0284701563614615,1.47308481923948
"73","Pld3",1.10599684908051,4.80914664415121e-09,1.1449024852839e-07,0.395524584719553,0.0251720518933184,0.0581183942070521,2.79627839029202
"74","Rab3b",1.10356247930362,0.00437424867033148,0.0197837468667002,1.24004325718603,0.0398199888440925,0.082681336810341,0.889938696016039
"75","St8sia6",-1.55841352138039,0.00420310996106713,0.0191379263644057,-1.22687600787008,0.0000191745083035511,0.000615685179523828,1.27022902997824
"76","Nosip",0.197668232781275,0.0499390642981724,0.135103952019385,0.497546589029719,0.0133024645029123,0.0359125135607474,0.397285876618618
"77","Timm50",0.257944915895857,0.0240984149893556,0.0774923121747634,2.38868239939465,0.000813921783394838,0.00505072734629755,0.10798627559747
"78","Ncstn",0.165218243939348,0.030182628584021,0.0923925621816631,1.44230707954878,0.0000487498419122132,0.000976334393369082,0.114551364464658
"79","Inmt",-0.697960990276448,0.000836378947303138,0.00496736110187532,-0.621678983992044,0.00124992079090726,0.00672025450430049,1.12270320896899
"80","Impdh1",0.971937621550666,0.00000293020815571658,0.00003578797645466,0.995551057697718,0.0000545030951561797,0.00102851217348906,0.97628103956651
"81","Dusp3",0.263004356950428,0.0481627670249238,0.131531087014598,0.995456716477799,0.0000071728835977607,0.000409499016636209,0.264204713873457
"82","Klc4",0.795532414226726,2.26105645408529e-07,0.00000366260766684314,0.977612166706036,0.000225389113983855,0.00225945197372435,0.813750525330705
"83","Aven",0.565930345999146,0.000278969264560065,0.00194835238886484,0.622909135409584,0.0260097048669412,0.0595452227242409,0.908527927796448
"84","Mast2",0.862144965354577,2.73337491128203e-18,2.62139972315508e-16,2.71322710370787,0.000739471554803439,0.00475988830568039,0.317756285191305
"85","Rad23a",-0.378469549493205,0.0182049316995879,0.0620018244869539,-1.06267512981205,0.000030537187255451,0.000771942115685842,0.356147931645058
"86","Ppfia3",1.83007862088957,0.00000701477061589249,0.0000783602337694569,2.77783397686665,0.000515075543416073,0.00377730440383875,0.658814974591774
"87","Rpl8",-0.542252930379705,0.000553886363244972,0.00348455010257618,-1.07614223817051,0.000140458550207635,0.00171265821550864,0.50388592803639
"88","Fancl",-0.581624280456144,0.028705265407522,0.0888857411142109,-0.480779309309257,0.0136575753190877,0.0366202469751493,1.2097531428542
"89","Stat3",0.611580177213482,5.75829123901849e-08,0.00000108962105183176,1.1244396275342,0.0000145709405496327,0.000545321629053598,0.543897744474394
"90","Cdip1",0.462777439610039,0.00000994965575045002,0.000106968305357864,1.68355764039471,0.000104976052534229,0.00144875304325161,0.274880662536473
"91","Dnmt1",0.515791003844953,0.00318672719976894,0.01521605895471,1.21106900983826,0.0000467299971273218,0.000953893684678531,0.425897285501375
"92","Angptl2",0.52381822995404,0.01856009129006,0.0629700062080246,1.1474638923861,0.0000037839883436438,0.000314029735323298,0.456500839311626
"93","Ikbkg",0.350562661249911,0.00366047113869695,0.0170786749183596,1.00062586273788,0.000758057399571182,0.00482761180147697,0.35034339437391
"94","Utp20",0.287772951688396,0.0261974136614808,0.0828840009732211,0.780683989596341,0.000379259267175755,0.00309984998348926,0.36861643830712
"95","Cul3",-0.426800413579932,0.00116285522136576,0.00656334406470992,-0.592909241215438,0.00630485145865247,0.0208721668885788,0.719841054770896
"96","Bid",2.60124005463267,8.71239169777616e-17,6.8717971713441e-15,1.69908700352631,0.0412521658545613,0.0848938945535119,1.53096342284652
"97","Ralb",0.833230358853533,0.0000362703805628591,0.000332360343930781,0.550972270137278,0.00220828671495748,0.00991596367296865,1.51229091555902
"98","Ppp1cc",-0.426453812217536,0.000606804136234521,0.00378361544717491,-0.985282756724839,0.0000145191076811176,0.000544780595279604,0.432823785158997
"99","Dnajb11",0.603867560627442,3.01019850769056e-07,0.00000473524143628229,1.18681131543586,0.000180279142818632,0.00198016313074712,0.508815135795759
"100","Gab2",1.47942001169068,9.11429244122715e-20,1.04653157901682e-17,1.35170851776062,0.00090803757190449,0.00542501027029599,1.09448153374194
"101","Pnpla6",0.559886975801509,0.000460952407096147,0.0029631692713614,0.949137569239255,0.000113284847292524,0.00151283909888346,0.589890226608841
"102","Myo9b",0.318359272326115,0.0216934273907127,0.07136296256633,2.15405313686728,0.00274760245471595,0.0115639808053512,0.147795459117186
"103","Hdac9",0.998407717152665,1.91373483807274e-08,3.94559944919732e-07,0.885637659217524,0.0125091699775318,0.034273499493145,1.12733204913031
"104","Pgf",-0.729783812340184,0.0463403979238704,0.128205142854779,-1.36535659845578,0.012735992619245,0.0347575551330194,0.534500520351659
"105","Ulk2",-0.287357334334909,0.00557374624154278,0.0239570315281387,-0.781670925033319,0.00251964289329658,0.0108807367034248,0.367619320525015
"106","Lbr",-0.423504723276266,0.00144703957473291,0.0079069165084323,-0.386740521735332,0.0239688661679267,0.0560578631528554,1.09506167436495
"107","Nes",1.564408709193,4.41303912915794e-18,4.11534184867717e-16,2.16325005491803,5.81280539250709e-07,0.000156049604766347,0.723175162129963
"108","Sh2b2",0.635090636024696,0.0166891355872545,0.0579810138673309,2.16698925649324,0.0000441727988370306,0.000929167878291947,0.293075119833515
"109","Pex5",0.421597346809737,0.000131064444479166,0.00101246533563562,0.858194503913115,0.000323266585394715,0.00280863923480775,0.491260832931669
"110","Slc1a2",2.38352409591253,0.00292453419335063,0.0142011543871016,2.0928528741808,0.00506450613326881,0.0178170273881869,1.13888755646309
"111","Wdr1",1.26888489853557,1.86958095012627e-11,6.99704143174751e-10,0.395550830046307,0.0117999177465088,0.0328207271221274,3.20789340370496
"112","Wisp1",1.13070923306387,0.0468956151555792,0.129253933411336,4.80595230799438,1.89395181013795e-07,0.000110113933522158,0.235272670347355
"113","Klf5",1.24045063734646,8.65392907302025e-09,1.94759558431345e-07,1.54941876421883,0.00103663331612679,0.00593239426349884,0.80059094803325
"114","Spc25",1.66649524524621,0.0286418216643557,0.0887544167197834,0.752248070355169,0.0492656322777779,0.0972185202957804,2.21535330022101
"115","Letm1",0.255995947248036,0.0135874065054219,0.0492572668395653,1.48051300139891,0.0000637281750412136,0.00110716657262472,0.172910300015029
"116","Crbn",-0.686485223954341,8.32097623567748e-10,2.36790913259206e-08,-1.14656563427756,0.00000315950207064025,0.00028385797388037,0.598731728416826
"117","Pafah1b3",1.4253216414671,0.00314230921462502,0.0150508051173824,0.949122344920188,0.000643541814276534,0.00435801491977267,1.50172593564527
"118","Asf1b",1.26920571490059,0.0117859544441848,0.0441783533340872,0.833013989282111,0.0248538752124664,0.0575723998950922,1.52363073277363
"119","Dnajb1",-0.315038161457684,0.0327946675992191,0.0984773517892225,-0.398779276828193,0.0200751452260751,0.0489571787613609,0.790006351291449
