"","external_gene_name","log2FC_TSC","pval_TSC","padj_TSC","log2FC_HCR","pval_HCR","padj_HCR","Ratio"
"37","Kif11",2.27294031112528,3.03403956032591e-07,0.00000476830109299264,0.0678064799388718,0.0322884009433553,0.370782472983607,33.5209896336509
"38","Pigl",-0.395756018566142,0.0463539362107767,0.128221581334268,-0.195054063630729,0.00551515657592077,0.154697064022844,2.02895551725278
"39","Ptgds",2.4522746433023,0.000286379946019433,0.00199250086927536,0.153203864015437,0.0221833114405065,0.311557576643279,16.0066109236985
"40","Abca1",-0.926289845140385,0.000160689323259173,0.00121354590035417,-0.257558453555748,0.00000587004488999688,0.00461800740563562,3.59642571366772
"41","Mrpl32",0.280533744413071,0.0113952532816804,0.0430966793953582,0.14939953113822,0.00321201417617737,0.116653101943525,1.87774179929339
"42","Anp32e",-0.299563049161062,0.00181860921379227,0.00957165728705945,-0.0985449274253813,0.0224857837382926,0.313118362668605,3.03986270006533
"43","Lnx2",0.354530469534999,0.0380441654354393,0.110239908735585,0.0671603457154415,0.00919228911830352,0.200759237707895,5.27886605940275
"44","Abr",1.19918670861355,9.47575481120827e-08,0.00000167477764877889,0.331949499882663,0.000185526262532129,0.0297083040241438,3.61255766023879
"45","Jph2",-0.501114425599111,0.00417759357257988,0.0190566900375294,-0.161178617178172,0.00414537190760862,0.131925702156601,3.10906269313108
"46","Ksr1",-0.812524112457509,0.00000119961630283074,0.000016103824465615,-0.16105668845007,0.00940895134401372,0.203126900683755,5.04495727732168
"47","Ncor1",-0.437367009641301,9.58271707125709e-07,0.0000131930409009583,-0.330745896263052,0.00815158482880195,0.189118685771721,1.32236564257611
"48","Slc25a39",0.519820176506908,0.001769485966987,0.0093656800366176,0.231226514326885,0.000436627613756137,0.045023416806008,2.24809934976591
"49","Abca5",-0.45899086022971,0.0343876471549662,0.102102042153168,-0.100971275545457,0.031751260459651,0.367411316899058,4.545756778353
"50","Atp6ap1",0.49698864805609,0.00000101635386280074,0.000013868259377699,0.145828695988698,0.0142069733177042,0.249433837405019,3.40803052983899
"51","Fkbp8",0.245909958013656,0.0430185170970747,0.121060423227419,0.289021372872492,0.0130888385626793,0.240392641040661,0.850836585438768
"52","Hdac2",-0.374051198525629,0.00777608666273525,0.0317188416578802,-0.193781022914603,0.0179218634528723,0.28160962970574,1.93027775836682
"53","Prmt2",1.50628096615875,9.76045345942342e-11,3.26231077112095e-09,0.13046244771915,0.0136493800267558,0.245197705573785,11.5457052392682
"54","Pfkl",0.774961930959526,0.0000677187573663108,0.00056845164926013,0.143029038268883,0.0113016108529661,0.222482388991003,5.4182139538872
"55","Tcn2",0.310952225645827,0.0134872261507681,0.0490204328593487,0.260043544516131,0.0000403999447282098,0.0122930480465554,1.19576983241181
"56","Ogdh",0.261268357887964,0.0215013648363308,0.0708277785074996,0.118441527140707,0.0375816649638853,0.393741724103416,2.20588474494744
"57","Efemp1",-0.745024857082941,0.00505076672172161,0.0221658940062398,-0.52473242405371,0.000192516946493067,0.0299910014861865,1.41981860264591
"58","Dus4l",-0.707806444243179,0.00373139335481993,0.0173504651338858,-0.227693604038298,0.000475176223158634,0.0471345507350791,3.10859168500897
"59","Dnmt3a",-0.472316414552736,0.00420448745530844,0.019139035533482,-0.0936116694446554,0.0410707218408817,0.409380010487443,5.0454865013595
"60","Ston2",-0.671431399816992,0.000103144851457126,0.000820057441236381,-0.132884945783127,0.0471256276439232,0.433613900870486,5.05272734891123
"61","Snapc1",0.509243836932152,0.0286163472607305,0.0887406440223902,0.0755998738855332,0.0303797094006031,0.360224430899477,6.73604082598345
"62","Pfkp",0.446212260555211,0.0167907303975594,0.0582670103578134,0.135249474702657,0.00444407632903153,0.137455036676927,3.2991792503165
"63","Klc1",0.473354299033133,5.17747376417668e-07,0.00000772001587151397,0.171963333713895,0.00769116771492876,0.183455533301961,2.75264667653325
"64","Nup153",-0.568392712903502,0.0000238203481602526,0.00023080577301774,-0.0826835756143822,0.0304932965119125,0.361162800264847,6.87431220384516
"65","Spin1",0.274548416615035,0.0148594562070471,0.0528694690806806,0.307351276557108,0.00660533364811893,0.168249205604857,0.893272413540868
"66","Ctsl",1.79442717783071,6.15550898904864e-33,2.25867035274243e-30,0.106882260297352,0.0439838549800323,0.423969024352031,16.788821389429
"67","B4galt7",0.5154471763805,0.0124059626687294,0.0459715134765056,0.154114657109,0.00132404792889519,0.0787944211104716,3.34456946567997
"68","Mrpl36",-0.518290368382934,0.000774156495343269,0.00466257916971679,-0.2016741020241,0.00368810130653765,0.125825722908043,2.56994013203043
"69","Glud1",0.243333381956259,0.0184772922404654,0.0627647848111925,0.190378445639809,0.000545368503286752,0.0503698789679673,1.27815615438231
"70","Asb14",-0.507447219654549,1.29505105084735e-09,3.50869449233585e-08,-0.248441461787449,0.00134633408040672,0.0787944211104716,2.04252227467849
"71","Kpna3",-0.575332777926397,2.50420903127005e-07,0.0000040294131781513,-0.238038426472055,0.0436674558993098,0.422907571821401,2.41697437868897
"72","Cacna2d3",0.755060872406664,0.0351748943435344,0.103887496347247,0.0860641099413275,0.0134693048933918,0.243997054130735,8.7732374496339
"73","Lrp10",0.400160544522286,0.00306976809156607,0.014749392433118,0.06263607909837,0.0365006735823992,0.389709091141277,6.38865890525864
"74","Zfr",-0.272767386728955,0.00659425270473949,0.0277014413646834,-0.113863056740946,0.0295970864485481,0.357147693227202,2.39557407412254
