,Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name
144,ENSMUSG00000000826,601.0939233,0.368308677,0.090716881,4.059979483,4.91E-05,0.000431443,Dnajc5
145,ENSMUSG00000000827,225.3855731,-0.151440307,0.108485295,-1.395952389,0.162728833,0.318494894,Tpd52l2
146,ENSMUSG00000000838,32.40520713,-0.293650129,0.242957255,-1.20864935,0.226797588,0.399803289,Fmr1
147,ENSMUSG00000000861,0.517157719,0.056101659,1.715800953,0.032697067,0.973916163,NA,Bcl11a
148,ENSMUSG00000000869,0.750845104,1.289123728,1.185134396,1.087744759,0.276707802,0.459149278,Il4
149,ENSMUSG00000000876,264.1280401,-0.063106574,0.13645837,-0.462460264,0.643751291,0.783069908,Pxmp4
150,ENSMUSG00000000881,6.071735616,-0.606305174,0.385252977,-1.573784527,0.115537272,0.249955604,Dlg3
151,ENSMUSG00000000884,11.64650676,0.333490152,0.255271486,1.306413642,0.191411929,0.3553282,Gnb1l
152,ENSMUSG00000000889,0.245633765,-0.354981634,1.664664239,-0.213245185,0.831135726,NA,Dbh
153,ENSMUSG00000000901,27.68715403,0.632433537,0.177544523,3.562112354,0.000367883,0.002444978,Mmp11
154,ENSMUSG00000000902,140.7210196,0.523828392,0.139013783,3.768175947,0.000164445,0.001237478,Smarcb1
155,ENSMUSG00000000903,1.978713809,0.791746204,0.56669442,1.397130757,0.162374254,0.318132529,Vpreb3
156,ENSMUSG00000000915,53.07320086,-0.007203044,0.183905408,-0.039167111,0.968757155,0.983853912,Hip1r
157,ENSMUSG00000000916,48.18539598,0.281154191,0.150101456,1.873094368,0.061055355,0.157000813,Nsun5
158,ENSMUSG00000000934,49.904465,-0.18876332,0.148352221,-1.272399692,0.203231143,0.370647052,Top1mt
159,ENSMUSG00000000938,56.07183144,-0.05709812,0.143914901,-0.396749188,0.691552424,0.818437487,Hoxa10
160,ENSMUSG00000000942,25.96387589,-1.352884464,0.293002534,-4.617313194,3.89E-06,4.62E-05,Hoxa4
161,ENSMUSG00000000948,279.3975031,0.09024355,0.128129189,0.704316877,0.481235459,0.656385722,Gm38393
162,ENSMUSG00000000957,56.20173337,0.313596143,0.204027643,1.537027719,0.124286521,0.263372671,Mmp14
163,ENSMUSG00000000958,3.096930948,0.373954161,0.464278987,0.805451402,0.42055924,0.603778124,Slc7a7
164,ENSMUSG00000000959,458.050334,-0.129170332,0.105736378,-1.221626224,0.221849007,0.3942088,Oxa1l
165,ENSMUSG00000000976,70.02795191,-0.352981487,0.141347316,-2.497263451,0.012515594,0.046306599,Heatr6
166,ENSMUSG00000000982,0.294108012,1.297327633,1.560135301,0.831548156,0.405664036,NA,Ccl3
167,ENSMUSG00000000983,0.141395539,0.10118645,2.616711689,0.038669315,0.969154038,NA,Wfdc18
168,ENSMUSG00000001014,0,NA,NA,NA,NA,NA,Icam4
169,ENSMUSG00000001016,102.2559649,-0.268302232,0.121658988,-2.205363016,0.027428631,0.085937525,Ilf2
170,ENSMUSG00000001017,354.8615408,-0.327764291,0.162414241,-2.018076051,0.043583341,0.122403198,Chtop
171,ENSMUSG00000001018,818.8002357,0.067393708,0.08313947,0.810610268,0.417589518,0.600997056,Snapin
172,ENSMUSG00000001020,27.10654913,2.178582913,0.341801867,6.373818058,1.84E-10,5.91E-09,S100a4
173,ENSMUSG00000001021,0.158710113,2.051660992,2.486941924,0.824973423,0.40938668,NA,S100a3
174,ENSMUSG00000001023,1.005144529,-2.899138333,1.324462367,-2.188917107,0.028602865,0.088715135,S100a5
175,ENSMUSG00000001025,68.305754,0.510026569,0.307832906,1.65682927,0.097553998,0.221259598,S100a6
176,ENSMUSG00000001027,3425.965778,-0.607251529,0.118667021,-5.117272866,3.10E-07,4.86E-06,Scn4a
177,ENSMUSG00000001029,18.14134914,-0.422766517,0.248979569,-1.697996821,0.089508362,0.207986184,Icam2
178,ENSMUSG00000001034,30.52101854,0.365799066,0.194076521,1.884818753,0.059454312,0.153915542,Mapk7
179,ENSMUSG00000001036,160.4765524,0.374770243,0.104475737,3.587150999,0.000334311,0.002261656,Epn2
180,ENSMUSG00000001039,18.7320655,0.133342639,0.206163802,0.646780075,0.51777429,0.686049249,B9d1
181,ENSMUSG00000001052,222.2873286,-0.498923834,0.108819464,-4.584876797,4.54E-06,5.31E-05,Sec24b
182,ENSMUSG00000001053,5.899060101,-0.25536236,0.451955468,-0.565016639,0.572062447,0.729655049,N4bp3
183,ENSMUSG00000001054,72.29286278,0.135929752,0.16276433,0.835132312,0.403643215,0.588451704,Rmnd5b
184,ENSMUSG00000001056,76.57275343,0.502192525,0.171140146,2.934393467,0.003342003,0.015836514,Nhp2
185,ENSMUSG00000001062,194.2517155,0.404145203,0.131985057,3.062052709,0.002198247,0.011202964,Vps9d1
186,ENSMUSG00000001065,26.39943866,0.072873358,0.222175282,0.327999396,0.742912119,0.852686907,Zfp276
187,ENSMUSG00000001076,0,NA,NA,NA,NA,NA,C1ql4
188,ENSMUSG00000001082,8.575004279,0.308182998,0.282123586,1.092368781,0.274671039,0.456406032,Mfsd10
189,ENSMUSG00000001089,112.5298031,0.413970587,0.147557818,2.805480545,0.005024161,0.022078318,Luzp1
190,ENSMUSG00000001095,0,NA,NA,NA,NA,NA,Slc13a2
191,ENSMUSG00000001098,38.26579545,0.323930645,0.177542761,1.824521834,0.068073219,0.169996724,Kctd10
192,ENSMUSG00000001100,518.9823818,0.298047325,0.100585171,2.963133838,0.003045241,0.014660761,Poldip2
193,ENSMUSG00000001103,0.049271004,-0.324027251,3.697420426,-0.087636031,0.930165964,NA,Sebox
194,ENSMUSG00000001105,29.70626039,-0.023587053,0.184807464,-0.127630415,0.898441461,0.948529997,Ift20
195,ENSMUSG00000001119,239.2285116,0.016280482,0.149902641,0.108607038,0.913514178,0.95729843,Col6a1
196,ENSMUSG00000001120,12.92398819,0.952924675,0.247705742,3.847002762,0.000119572,0.000934775,Pcbp3
197,ENSMUSG00000001123,35.14820899,-0.106930023,0.272147888,-0.392911455,0.694384881,0.820565746,Lgals9
198,ENSMUSG00000001127,698.2034574,-0.217508653,0.106033115,-2.051327589,0.040235056,0.114969951,Araf
199,ENSMUSG00000001128,38.9799292,-0.025223638,0.186091758,-0.135544088,0.892181708,0.944975844,Cfp
200,ENSMUSG00000001131,13.97893366,4.242233965,0.445370074,9.525188623,1.65E-21,2.28E-19,Timp1
201,ENSMUSG00000001134,96.35186091,0.196454598,0.14945775,1.314449053,0.188695132,0.351731177,Uxt
202,ENSMUSG00000001138,111.7091961,-0.577748306,0.173922814,-3.321866138,0.000894176,0.005253322,Cnnm3
203,ENSMUSG00000001143,78.3351292,-0.223559141,0.119206619,-1.875392013,0.060738813,0.156506438,Lman2l
204,ENSMUSG00000001150,112.2004123,0.15482094,0.122606495,1.26274664,0.206680247,0.374630142,Mcm3ap
205,ENSMUSG00000001151,497.312699,0.116331427,0.110138971,1.056224027,0.290865876,0.474809006,Pcnt
206,ENSMUSG00000001155,0.317734892,-1.246205704,1.618922926,-0.769774573,0.441433625,NA,Ftcd
207,ENSMUSG00000001156,47.65037322,-0.089881117,0.159192144,-0.564607744,0.572340597,0.72975804,Mxd1
208,ENSMUSG00000001157,11.94346491,0.631585995,0.269898626,2.340085992,0.0192793,0.065005056,Gmcl1
209,ENSMUSG00000001158,1901.705095,-0.133790468,0.132173197,-1.012235995,0.311425229,0.496184296,Snrnp27
210,ENSMUSG00000001166,1.541738591,-1.326125895,0.89382196,-1.483657768,0.137899735,0.282854494,Oas1c
211,ENSMUSG00000001168,0,NA,NA,NA,NA,NA,Oas1h
212,ENSMUSG00000001173,218.1348683,-0.638181891,0.129058495,-4.944904186,7.62E-07,1.08E-05,Ocrl
213,ENSMUSG00000001175,2829.034048,-0.907516703,0.172789743,-5.25214452,1.50E-07,2.55E-06,Calm1
214,ENSMUSG00000001211,1595.738929,0.465582337,0.115910644,4.01673498,5.90E-05,0.000506628,Agpat3
215,ENSMUSG00000001225,0.457289777,-0.381258186,1.423706751,-0.267792638,0.788858938,NA,Slc26a3
216,ENSMUSG00000001227,13.12000404,-0.509327436,0.315815802,-1.612735758,0.106801928,0.236204108,Sema6b
217,ENSMUSG00000001228,1.325383289,0.756951011,0.763009956,0.992059153,0.321168671,0.50621029,Uhrf1
218,ENSMUSG00000001229,219.3854212,-0.487875959,0.106907674,-4.563526089,5.03E-06,5.80E-05,Dpp9
219,ENSMUSG00000001240,89.1466912,-0.443814281,0.187797392,-2.363261147,0.0181149,0.061774547,Ramp2
220,ENSMUSG00000001247,1.487449708,-0.363236463,0.757177494,-0.479724326,0.631423428,0.77511244,Lsr
221,ENSMUSG00000001248,145.2920687,0.158893836,0.156681522,1.014119815,0.310525584,0.495230397,Gramd1a
222,ENSMUSG00000001249,17.56296977,0.424746872,0.284053716,1.495304753,0.134834925,0.278379111,Hpn
223,ENSMUSG00000001260,0.654800201,1.687277069,0.977304846,1.72645933,0.08426481,0.198673799,Gabrg1
224,ENSMUSG00000001270,17.7003019,1.553083176,0.26736221,5.808910604,6.29E-09,1.45E-07,Ckb
225,ENSMUSG00000001280,104.4177383,-0.46226905,0.159815825,-2.892511115,0.003821757,0.017697512,Sp1
226,ENSMUSG00000001281,3.464627118,-0.727772591,0.531039753,-1.370467251,0.170541092,0.32880645,Itgb7
227,ENSMUSG00000001285,58.5161538,-0.512107403,0.149329194,-3.429385696,0.000604949,0.003773443,Myg1
228,ENSMUSG00000001288,30.49595462,-0.184453279,0.225413547,-0.818288349,0.413192557,0.596959443,Rarg
229,ENSMUSG00000001289,259.3344149,-0.293869683,0.133023217,-2.209160854,0.027163455,0.085237396,Pfdn5
230,ENSMUSG00000001300,42.16742933,-0.015602659,0.212976361,-0.073260052,0.94159918,0.971351458,Efnb2
231,ENSMUSG00000001305,25.50680611,0.082857086,0.24154991,0.343022632,0.731581434,0.845546632,Rrp15
232,ENSMUSG00000001313,21.02254458,0.977914687,0.220570481,4.433570093,9.27E-06,0.00010022,Rnd2
233,ENSMUSG00000001323,109.2000977,0.52939661,0.150052841,3.528067899,0.000418605,0.002730151,Srr
234,ENSMUSG00000001333,227.7877888,0.519652205,0.12793801,4.061749957,4.87E-05,0.000428854,Sync
235,ENSMUSG00000001334,515.4821985,-0.136973499,0.18726623,-0.731437262,0.464512112,0.642032423,Fndc5
236,ENSMUSG00000001348,10.17828892,-0.477594207,0.577696712,-0.826721353,0.408395016,0.592564212,Acp5
237,ENSMUSG00000001349,6.43719206,0.097643966,0.520646124,0.187543826,0.851234265,0.920434539,Cnn1
238,ENSMUSG00000001366,133.0106723,0.240267217,0.094593278,2.540003071,0.01108515,0.042179044,Fbxo9
239,ENSMUSG00000001376,154.8098651,-0.219063133,0.123549684,-1.773077242,0.076215908,0.184268889,Vps50
240,ENSMUSG00000001380,220.4234164,0.708358341,0.091167806,7.769829852,7.86E-15,5.02E-13,Hars
241,ENSMUSG00000001383,166.8505702,0.601487452,0.110221783,5.457065142,4.84E-08,9.25E-07,Zmat2
242,ENSMUSG00000001403,46.16997305,-0.554227286,0.254764956,-2.175445534,0.029596745,0.091044918,Ube2c
243,ENSMUSG00000001415,222.7692754,0.422260797,0.152417307,2.770425524,0.00559831,0.024049665,Smg5
244,ENSMUSG00000001416,265.7254629,0.433702203,0.168355589,2.576108134,0.009991939,0.038717618,Cct3
245,ENSMUSG00000001418,100.1173609,0.167509265,0.145893454,1.148161628,0.250901847,0.42904211,Glmp
246,ENSMUSG00000001419,1819.081031,0.059897397,0.130384902,0.459389057,0.645954805,0.784506487,Mef2d
247,ENSMUSG00000001420,2.442059175,-0.187071983,0.644791998,-0.290127643,0.771718589,0.870827521,Tmem79
248,ENSMUSG00000001424,318.6280451,0.302275314,0.10390778,2.909072961,0.003625022,0.016944546,Snd1
249,ENSMUSG00000001435,25.19557638,-0.438074877,0.225476469,-1.942885125,0.05203004,0.139134195,Col18a1
250,ENSMUSG00000001436,21.42805871,0.154958521,0.210587814,0.735838022,0.461829279,0.63968623,Slc19a1
