age,animal.id,MouseID,Sex,Genotype,assay,experiment.date,Cohort,Mass,Diet,start.date,injection.days,diet.time,Mass.Change
71,16964,4098,M,+/+,Total Fat Mass,2017-06-28,1,4.03,Ketogenic Diet,2017-06-21,7,0,0
71,16964,4098,M,+/+,Lean Mass,2017-06-28,1,18.67,Ketogenic Diet,2017-06-21,7,0,0
71,16965,4099,M,+/+,Body Weight,2017-06-28,1,24.7,Ketogenic Diet,2017-06-21,7,0,0
71,16965,4099,M,+/+,Total Fat Mass,2017-06-28,1,2.61,Ketogenic Diet,2017-06-21,7,0,0
71,16965,4099,M,+/+,Lean Mass,2017-06-28,1,20.1,Ketogenic Diet,2017-06-21,7,0,0
71,16966,4100,M,+/+,Body Weight,2017-06-28,1,23.7,Ketogenic Diet,2017-06-21,7,0,0
71,16966,4100,M,+/+,Total Fat Mass,2017-06-28,1,2.53,Ketogenic Diet,2017-06-21,7,0,0
71,16966,4100,M,+/+,Lean Mass,2017-06-28,1,19.13,Ketogenic Diet,2017-06-21,7,0,0
71,16967,4101,M,+/+,Body Weight,2017-06-28,1,22.5,Ketogenic Diet,2017-06-21,7,0,0
71,16967,4101,M,+/+,Total Fat Mass,2017-06-28,1,2.43,Ketogenic Diet,2017-06-21,7,0,0
71,16967,4101,M,+/+,Lean Mass,2017-06-28,1,18.04,Ketogenic Diet,2017-06-21,7,0,0
71,16968,4102,F,+/+,Body Weight,2017-06-28,1,20.3,Ketogenic Diet,2017-06-21,7,0,0
71,16968,4102,F,+/+,Total Fat Mass,2017-06-28,1,3.18,Ketogenic Diet,2017-06-21,7,0,0
71,16968,4102,F,+/+,Lean Mass,2017-06-28,1,15.38,Ketogenic Diet,2017-06-21,7,0,0
71,16969,4103,F,+/+,Body Weight,2017-06-28,1,20.3,Ketogenic Diet,2017-06-21,7,0,0
71,16969,4103,F,+/+,Total Fat Mass,2017-06-28,1,2.23,Ketogenic Diet,2017-06-21,7,0,0
71,16969,4103,F,+/+,Lean Mass,2017-06-28,1,16.14,Ketogenic Diet,2017-06-21,7,0,0
71,16970,4104,F,+/+,Body Weight,2017-06-28,1,20.6,Ketogenic Diet,2017-06-21,7,0,0
71,16970,4104,F,+/+,Total Fat Mass,2017-06-28,1,2.1,Ketogenic Diet,2017-06-21,7,0,0
71,16970,4104,F,+/+,Lean Mass,2017-06-28,1,16.7,Ketogenic Diet,2017-06-21,7,0,0
71,16971,4105,F,+/+,Body Weight,2017-06-28,1,20.6,Ketogenic Diet,2017-06-21,7,0,0
71,16971,4105,F,+/+,Total Fat Mass,2017-06-28,1,2.83,Ketogenic Diet,2017-06-21,7,0,0
71,16971,4105,F,+/+,Lean Mass,2017-06-28,1,16.98,Ketogenic Diet,2017-06-21,7,0,0
71,16972,4106,F,+/+,Body Weight,2017-06-28,1,19.7,Control Diet,2017-06-21,7,0,0
71,16972,4106,F,+/+,Total Fat Mass,2017-06-28,1,3,Control Diet,2017-06-21,7,0,0
71,16972,4106,F,+/+,Lean Mass,2017-06-28,1,15.22,Control Diet,2017-06-21,7,0,0
71,16973,4107,F,+/+,Body Weight,2017-06-28,1,19.8,Control Diet,2017-06-21,7,0,0
71,16973,4107,F,+/+,Total Fat Mass,2017-06-28,1,2.99,Control Diet,2017-06-21,7,0,0
71,16973,4107,F,+/+,Lean Mass,2017-06-28,1,15.1,Control Diet,2017-06-21,7,0,0
71,16974,4108,F,+/+,Body Weight,2017-06-28,1,19,Control Diet,2017-06-21,7,0,0
71,16974,4108,F,+/+,Total Fat Mass,2017-06-28,1,2.58,Control Diet,2017-06-21,7,0,0
71,16974,4108,F,+/+,Lean Mass,2017-06-28,1,14.92,Control Diet,2017-06-21,7,0,0
71,16976,4109,F,+/+,Body Weight,2017-06-28,1,17.6,Control Diet,2017-06-21,7,0,0
71,16976,4109,F,+/+,Total Fat Mass,2017-06-28,1,2.22,Control Diet,2017-06-21,7,0,0
71,16976,4109,F,+/+,Lean Mass,2017-06-28,1,13.97,Control Diet,2017-06-21,7,0,0
71,16977,4110,F,+/+,Body Weight,2017-06-28,1,19.6,Ketogenic Diet,2017-06-21,7,0,0
71,16977,4110,F,+/+,Total Fat Mass,2017-06-28,1,2.93,Ketogenic Diet,2017-06-21,7,0,0
71,16977,4110,F,+/+,Lean Mass,2017-06-28,1,14.77,Ketogenic Diet,2017-06-21,7,0,0
71,16978,4111,F,+/+,Body Weight,2017-06-28,1,21.2,Ketogenic Diet,2017-06-21,7,0,0
71,16978,4111,F,+/+,Total Fat Mass,2017-06-28,1,3.12,Ketogenic Diet,2017-06-21,7,0,0
71,16978,4111,F,+/+,Lean Mass,2017-06-28,1,16.11,Ketogenic Diet,2017-06-21,7,0,0
71,16979,4112,F,+/+,Body Weight,2017-06-28,1,20.9,Ketogenic Diet,2017-06-21,7,0,0
71,16979,4112,F,+/+,Total Fat Mass,2017-06-28,1,3.21,Ketogenic Diet,2017-06-21,7,0,0
71,16979,4112,F,+/+,Lean Mass,2017-06-28,1,16.04,Ketogenic Diet,2017-06-21,7,0,0
71,16980,4113,F,+/+,Body Weight,2017-06-28,1,20.4,Ketogenic Diet,2017-06-21,7,0,0
71,16980,4113,F,+/+,Total Fat Mass,2017-06-28,1,2.93,Ketogenic Diet,2017-06-21,7,0,0
71,16980,4113,F,+/+,Lean Mass,2017-06-28,1,15.54,Ketogenic Diet,2017-06-21,7,0,0
71,16981,4114,F,+/+,Body Weight,2017-06-28,1,22.8,Control Diet,2017-06-21,7,0,0
71,16981,4114,F,+/+,Total Fat Mass,2017-06-28,1,4.2,Control Diet,2017-06-21,7,0,0
71,16981,4114,F,+/+,Lean Mass,2017-06-28,1,16.73,Control Diet,2017-06-21,7,0,0
71,16982,4115,F,+/+,Body Weight,2017-06-28,1,20.1,Control Diet,2017-06-21,7,0,0
71,16982,4115,F,+/+,Total Fat Mass,2017-06-28,1,1.88,Control Diet,2017-06-21,7,0,0
