age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date
71,23037,8906,F,+/+,17500,Body Weight,2019-08-21
71,23037,8906,F,+/+,1600,Total Fat Mass,2019-08-21
71,23037,8906,F,+/+,14060,Lean Mass,2019-08-21
78,23037,8906,F,+/+,18400,Body Weight,2019-08-28
78,23037,8906,F,+/+,1950,Total Fat Mass,2019-08-28
78,23037,8906,F,+/+,14700,Lean Mass,2019-08-28
78,23037,8906,F,+/+,18400,Body Weight,2019-08-28
78,23037,8906,F,+/+,"140,157,106,118,127,184,203,228,229",Plasma Glucose,2019-08-28
78,23037,8906,F,+/+,1950,Total Fat Mass,2019-08-28
78,23037,8906,F,+/+,14700,Lean Mass,2019-08-28
85,23037,8906,F,+/+,19000,Body Weight,2019-09-04
85,23037,8906,F,+/+,2170,Total Fat Mass,2019-09-04
85,23037,8906,F,+/+,15080,Lean Mass,2019-09-04
92,23037,8906,F,+/+,19000,Body Weight,2019-09-11
92,23037,8906,F,+/+,2270,Total Fat Mass,2019-09-11
92,23037,8906,F,+/+,14960,Lean Mass,2019-09-11
99,23037,8906,F,+/+,19200,Body Weight,2019-09-18
99,23037,8906,F,+/+,1940,Total Fat Mass,2019-09-18
99,23037,8906,F,+/+,15680,Lean Mass,2019-09-18
106,23037,8906,F,+/+,18800,Body Weight,2019-09-25
106,23037,8906,F,+/+,1900,Total Fat Mass,2019-09-25
106,23037,8906,F,+/+,14930,Lean Mass,2019-09-25
22,23038,8907,F,-/-,8300,Body Weight,2019-07-03
22,23038,8907,F,-/-,840,Total Fat Mass,2019-07-03
22,23038,8907,F,-/-,6810,Lean Mass,2019-07-03
29,23038,8907,F,-/-,12500,Body Weight,2019-07-10
29,23038,8907,F,-/-,1200,Total Fat Mass,2019-07-10
29,23038,8907,F,-/-,10490,Lean Mass,2019-07-10
36,23038,8907,F,-/-,15600,Body Weight,2019-07-17
36,23038,8907,F,-/-,1640,Total Fat Mass,2019-07-17
36,23038,8907,F,-/-,12820,Lean Mass,2019-07-17
43,23038,8907,F,-/-,16000,Body Weight,2019-07-24
43,23038,8907,F,-/-,1360,Total Fat Mass,2019-07-24
43,23038,8907,F,-/-,12940,Lean Mass,2019-07-24
50,23038,8907,F,-/-,17000,Body Weight,2019-07-31
50,23038,8907,F,-/-,1890,Total Fat Mass,2019-07-31
50,23038,8907,F,-/-,13540,Lean Mass,2019-07-31
78,23038,8907,F,-/-,18800,Body Weight,2019-08-28
78,23038,8907,F,-/-,2440,Total Fat Mass,2019-08-28
64,23038,8907,F,-/-,1470,Total Fat Mass,2019-08-14
64,23038,8907,F,-/-,13940,Lean Mass,2019-08-14
64,23038,8907,F,-/-,17400,Body Weight,2019-08-14
57,23038,8907,F,-/-,17300,Body Weight,2019-08-07
57,23038,8907,F,-/-,2030,Total Fat Mass,2019-08-07
57,23038,8907,F,-/-,13760,Lean Mass,2019-08-07
71,23038,8907,F,-/-,17800,Body Weight,2019-08-21
71,23038,8907,F,-/-,1570,Total Fat Mass,2019-08-21
71,23038,8907,F,-/-,14420,Lean Mass,2019-08-21
78,23038,8907,F,-/-,18800,Body Weight,2019-08-28
78,23038,8907,F,-/-,2440,Total Fat Mass,2019-08-28
78,23038,8907,F,-/-,14490,Lean Mass,2019-08-28
78,23038,8907,F,-/-,18800,Body Weight,2019-08-28
78,23038,8907,F,-/-,"145,120,116,107,110,136,142,169,167",Plasma Glucose,2019-08-28
78,23038,8907,F,-/-,2440,Total Fat Mass,2019-08-28
78,23038,8907,F,-/-,14490,Lean Mass,2019-08-28
85,23038,8907,F,-/-,19100,Body Weight,2019-09-04
85,23038,8907,F,-/-,2630,Total Fat Mass,2019-09-04
85,23038,8907,F,-/-,14680,Lean Mass,2019-09-04
92,23038,8907,F,-/-,18900,Body Weight,2019-09-11
92,23038,8907,F,-/-,2730,Total Fat Mass,2019-09-11
99,23038,8907,F,-/-,19700,Body Weight,2019-09-18
99,23038,8907,F,-/-,2100,Total Fat Mass,2019-09-18
99,23038,8907,F,-/-,15400,Lean Mass,2019-09-18
106,23038,8907,F,-/-,20200,Body Weight,2019-09-25
106,23038,8907,F,-/-,1880,Total Fat Mass,2019-09-25
106,23038,8907,F,-/-,14880,Lean Mass,2019-09-25
92,23038,8907,F,-/-,14650,Lean Mass,2019-09-11
22,23039,8908,F,-/-,7600,Body Weight,2019-07-03
22,23039,8908,F,-/-,710,Total Fat Mass,2019-07-03
22,23039,8908,F,-/-,6420,Lean Mass,2019-07-03
29,23039,8908,F,-/-,12700,Body Weight,2019-07-10
29,23039,8908,F,-/-,1110,Total Fat Mass,2019-07-10
29,23039,8908,F,-/-,10750,Lean Mass,2019-07-10
36,23039,8908,F,-/-,17000,Body Weight,2019-07-17
36,23039,8908,F,-/-,1540,Total Fat Mass,2019-07-17
36,23039,8908,F,-/-,13900,Lean Mass,2019-07-17
43,23039,8908,F,-/-,17100,Body Weight,2019-07-24
43,23039,8908,F,-/-,1180,Total Fat Mass,2019-07-24
43,23039,8908,F,-/-,14070,Lean Mass,2019-07-24
50,23039,8908,F,-/-,18900,Body Weight,2019-07-31
50,23039,8908,F,-/-,1600,Total Fat Mass,2019-07-31
50,23039,8908,F,-/-,15380,Lean Mass,2019-07-31
78,23039,8908,F,-/-,19700,Body Weight,2019-08-28
78,23039,8908,F,-/-,2210,Total Fat Mass,2019-08-28
64,23039,8908,F,-/-,1480,Total Fat Mass,2019-08-14
64,23039,8908,F,-/-,15780,Lean Mass,2019-08-14
64,23039,8908,F,-/-,19100,Body Weight,2019-08-14
57,23039,8908,F,-/-,18400,Body Weight,2019-08-07
57,23039,8908,F,-/-,1610,Total Fat Mass,2019-08-07
57,23039,8908,F,-/-,15080,Lean Mass,2019-08-07
71,23039,8908,F,-/-,18900,Body Weight,2019-08-21
71,23039,8908,F,-/-,1140,Total Fat Mass,2019-08-21
71,23039,8908,F,-/-,16100,Lean Mass,2019-08-21
78,23039,8908,F,-/-,19700,Body Weight,2019-08-28
78,23039,8908,F,-/-,2210,Total Fat Mass,2019-08-28
78,23039,8908,F,-/-,15530,Lean Mass,2019-08-28
78,23039,8908,F,-/-,19700,Body Weight,2019-08-28
78,23039,8908,F,-/-,"165,166,186,123,172,288,198,218,252",Plasma Glucose,2019-08-28
78,23039,8908,F,-/-,2210,Total Fat Mass,2019-08-28
78,23039,8908,F,-/-,15530,Lean Mass,2019-08-28
85,23039,8908,F,-/-,20300,Body Weight,2019-09-04
85,23039,8908,F,-/-,2800,Total Fat Mass,2019-09-04
85,23039,8908,F,-/-,15810,Lean Mass,2019-09-04
92,23039,8908,F,-/-,20000,Body Weight,2019-09-11
92,23039,8908,F,-/-,2290,Total Fat Mass,2019-09-11
99,23039,8908,F,-/-,20700,Body Weight,2019-09-18
99,23039,8908,F,-/-,2060,Total Fat Mass,2019-09-18
99,23039,8908,F,-/-,16620,Lean Mass,2019-09-18
106,23039,8908,F,-/-,21600,Body Weight,2019-09-25
106,23039,8908,F,-/-,2160,Total Fat Mass,2019-09-25
106,23039,8908,F,-/-,17100,Lean Mass,2019-09-25
92,23039,8908,F,-/-,15810,Lean Mass,2019-09-11
22,23040,8903,M,+/+,7300,Body Weight,2019-07-03
22,23040,8903,M,+/+,530,Total Fat Mass,2019-07-03
22,23040,8903,M,+/+,6230,Lean Mass,2019-07-03
29,23040,8903,M,+/+,12000,Body Weight,2019-07-10
29,23040,8903,M,+/+,930,Total Fat Mass,2019-07-10
29,23040,8903,M,+/+,10110,Lean Mass,2019-07-10
36,23040,8903,M,+/+,16200,Body Weight,2019-07-17
36,23040,8903,M,+/+,1190,Total Fat Mass,2019-07-17
36,23040,8903,M,+/+,13840,Lean Mass,2019-07-17
43,23040,8903,M,+/+,17600,Body Weight,2019-07-24
43,23040,8903,M,+/+,750,Total Fat Mass,2019-07-24
43,23040,8903,M,+/+,15100,Lean Mass,2019-07-24
50,23040,8903,M,+/+,19400,Body Weight,2019-07-31
50,23040,8903,M,+/+,1280,Total Fat Mass,2019-07-31
50,23040,8903,M,+/+,16460,Lean Mass,2019-07-31
78,23040,8903,M,+/+,21600,Body Weight,2019-08-28
78,23040,8903,M,+/+,2210,Total Fat Mass,2019-08-28
64,23040,8903,M,+/+,1090,Total Fat Mass,2019-08-14
64,23040,8903,M,+/+,17950,Lean Mass,2019-08-14
64,23040,8903,M,+/+,21100,Body Weight,2019-08-14
