h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
6.867383e-02	7.431218e-02	5.404152e-01	2.804810e-01	6.660103e-04	3	
4.819202e-01	4.191296e-01	2.490877e-01	5.719457e-02	7.166584e-04	3	
4.726983e-01	4.198129e-01	4.621123e-01	2.090117e-01	3.739231e-04	1	
5.764107e-01	5.074911e-01	6.557741e-01	5.041966e-01	3.168622e-04	3	
4.296036e-01	3.418066e-01	9.091415e-01	8.640403e-01	8.379017e-04	4	
4.516430e-01	3.137512e-01	4.458939e-01	4.081999e-01	8.983124e-04	12	
2.990415e-01	2.344365e-01	6.673628e-01	3.532292e-01	6.680589e-04	5	
1.406102e-01	1.493944e-01	2.169006e-01	1.090212e-01	7.008362e-04	7	
7.889855e-01	6.143328e-01	6.508896e-01	2.166677e-01	6.871864e-04	5	
4.216771e-01	1.621175e-01	8.063358e-01	4.771095e-01	2.820719e-04	2	
5.174080e-01	1.740695e-01	8.444483e-01	7.656082e-02	3.478245e-04	3	
3.528426e-01	1.703431e-01	6.113205e-01	1.458095e-01	3.656492e-04	2	
7.213070e-01	6.405005e-01	5.729879e-01	0.000000e+00	3.181321e-04	0	
2.199215e-01	2.014788e-01	2.512387e-02	3.991579e-04	3.391621e-04	1	
4.064896e-01	2.390229e-01	9.983958e-01	9.952720e-01	4.089979e-04	3	
4.158598e-01	4.155471e-01	7.056776e-01	6.665115e-01	6.241226e-04	5	
2.410367e-01	2.809353e-01	4.338533e-01	4.233731e-02	5.524652e-04	2	
3.431876e-01	4.327732e-01	6.715273e-03	2.175808e-03	5.970779e-04	5	
5.221084e-01	2.432892e-01	7.735390e-01	2.137834e-01	6.037625e-04	1	
1.000824e-02	6.926254e-03	5.281177e-01	5.041001e-01	2.881173e-04	2	
6.658068e-01	5.249852e-01	9.110889e-02	1.265341e-02	3.888045e-04	1	
4.860441e-01	2.683642e-01	5.321021e-01	0.000000e+00	1.895856e-04	0	
9.496484e-01	5.800271e-01	9.237464e-01	0.000000e+00	1.804637e-04	0	
4.265688e-01	4.430596e-01	3.184359e-01	6.629589e-03	2.238861e-04	1	
9.162367e-02	1.085015e-01	2.599748e-01	1.845000e-01	2.125876e-04	2	
4.649528e-02	5.568622e-02	2.990398e-01	1.363709e-01	1.829344e-04	2	
2.619013e-01	2.334210e-01	6.383324e-01	5.999334e-01	1.754739e-04	3	
5.983624e-01	3.962355e-01	2.420787e-01	5.723659e-02	2.581143e-04	1	
5.238324e-01	6.039678e-01	5.020403e-01	6.537156e-01	2.703766e-04	2	
4.559777e-01	2.826873e-01	7.614557e-01	3.622060e-01	2.052419e-04	2	
7.173949e-01	7.147385e-01	3.836886e-01	5.191948e-02	1.800180e-04	2	
4.885126e-01	5.652967e-01	2.172889e-01	2.899408e-01	1.422337e-04	2	
6.297148e-01	6.587820e-01	2.416014e-02	1.131422e-02	1.399674e-04	2	
5.803140e-01	5.627507e-01	1.584410e-01	0.000000e+00	1.838404e-04	0	
6.407082e-01	6.530060e-01	1.018667e-01	3.075668e-02	1.685285e-04	1	
3.854825e-01	3.826339e-01	5.831163e-03	5.151324e-04	1.731815e-04	1	
4.046752e-01	4.428067e-01	3.094446e-01	4.597589e-01	2.036983e-04	3	
7.075785e-01	6.101213e-01	6.450726e-01	5.879167e-01	1.788020e-04	2	
5.975461e-01	2.565890e-01	5.557765e-01	0.000000e+00	1.902343e-04	0	
3.459289e-01	2.160697e-01	7.963403e-01	6.864043e-01	1.801995e-04	1	
1.398906e-01	4.252022e-02	7.281425e-01	0.000000e+00	1.923731e-04	0	
1.484560e-01	4.270224e-02	5.989302e-01	0.000000e+00	1.846363e-04	0	
7.979169e-01	3.629102e-01	8.539930e-01	0.000000e+00	1.619755e-04	0	
4.790996e-01	4.813407e-01	3.893160e-02	6.252645e-04	1.498655e-04	1	
2.817633e-01	8.454610e-02	8.013183e-01	1.294554e-01	1.534657e-04	1	
8.890307e-01	2.895636e-01	9.630469e-01	0.000000e+00	2.102372e-04	0	
5.139794e-01	4.316658e-01	4.995166e-01	2.256845e-01	2.795462e-04	2	
3.631131e-01	4.038728e-01	5.204349e-01	0.000000e+00	3.805643e-04	0	
4.584792e-01	5.573057e-01	4.236439e-01	4.234676e-01	6.354159e-04	7	
4.237236e-01	3.487091e-01	4.953658e-01	9.502132e-02	6.330584e-04	3	
7.213981e-01	6.644199e-01	6.187911e-02	6.890684e-02	6.945868e-04	2	
6.355438e-01	3.271325e-01	7.807411e-01	1.592497e-01	7.232518e-04	3	
1.499526e-01	1.171798e-01	3.651852e-01	2.407737e-01	9.456128e-04	4	
1.612156e-01	1.790140e-01	4.704517e-01	3.077555e-01	1.006233e-03	5	
4.716552e-01	5.457080e-01	1.880425e-01	1.429254e-03	6.591593e-04	1	
2.722828e-01	3.439680e-01	9.941220e-01	9.953159e-01	5.923969e-04	3	
5.088713e-01	5.111883e-01	1.781111e-01	8.575297e-02	7.375015e-04	8	
4.581555e-01	5.763993e-01	8.775535e-03	1.869679e-02	8.418822e-04	11	
2.985256e-02	6.624308e-02	6.550611e-01	6.847033e-01	1.108437e-03	6	
4.180506e-01	4.048871e-01	6.459502e-01	6.312873e-01	1.520906e-03	13	
5.108674e-01	5.447170e-01	1.686826e-01	2.379229e-01	1.741445e-03	11	
1.871454e-01	1.529813e-01	4.666768e-01	5.169500e-01	1.166485e-03	10	
1.890022e-01	3.082613e-01	5.653730e-01	8.608861e-01	1.773514e-03	14	
4.980478e-01	4.475472e-01	7.743110e-01	7.557567e-01	3.367672e-03	22	
2.306165e-01	3.130987e-01	3.527822e-01	4.896553e-01	2.627899e-03	23	
4.811301e-01	5.720204e-01	7.829557e-01	8.663991e-01	2.512863e-03	21	
5.499772e-01	4.448258e-01	1.360355e-01	1.739676e-01	2.541753e-03	18	
9.953058e-02	9.829314e-02	3.416239e-01	3.065017e-01	2.712357e-03	20	
1.347823e-01	1.267964e-01	6.372706e-01	6.682799e-01	3.170147e-03	18	
6.161237e-01	6.399249e-01	2.388136e-01	2.363268e-01	3.756993e-03	39	
6.037549e-01	5.087241e-01	6.236314e-02	9.887736e-02	3.242735e-03	27	
6.346637e-01	6.723447e-01	2.799699e-01	2.072252e-01	4.933508e-03	35	
3.172809e-01	3.062195e-01	9.120971e-01	9.172712e-01	4.203101e-03	35	
2.191777e-01	3.212230e-01	9.772030e-01	9.859904e-01	4.208828e-03	36	
6.017560e-01	6.371389e-01	4.637009e-01	4.415925e-01	5.076118e-03	26	
4.103861e-01	3.778138e-01	2.915107e-02	5.069572e-02	3.437376e-03	23	
5.252454e-01	5.423986e-01	6.879245e-01	8.018965e-01	3.845390e-03	30	
3.447564e-01	4.787943e-01	9.397378e-01	9.536068e-01	3.330702e-03	28	
6.339431e-01	6.809960e-01	4.207845e-01	2.779664e-01	3.421948e-03	27	
2.444261e-01	3.444230e-01	4.474957e-01	5.275355e-01	2.391485e-03	19	
4.379845e-01	5.209972e-01	6.999813e-01	6.869968e-01	1.527974e-03	9	
5.436630e-01	5.448138e-01	5.425086e-01	2.762190e-01	1.477077e-03	13	
7.735551e-01	7.726910e-01	7.621999e-01	7.039863e-01	1.758152e-03	10	
6.659028e-01	6.125024e-01	6.681510e-02	1.427284e-01	1.082147e-03	7	
4.740606e-01	4.079991e-01	6.253505e-01	2.850354e-01	1.111794e-03	7	
3.853414e-01	3.380001e-01	1.653760e-01	1.141080e-01	9.817742e-04	6	
4.364206e-01	5.207482e-01	7.755467e-01	8.365407e-01	6.181071e-04	8	
4.962544e-01	3.706057e-01	9.330742e-01	8.946771e-01	8.506553e-04	4	
5.118575e-01	3.693441e-01	8.121102e-01	5.993804e-01	7.271550e-04	3	
2.311265e-01	3.033791e-01	5.746811e-02	2.343870e-02	6.237166e-04	5	
3.659124e-01	4.092307e-01	7.371524e-01	7.720812e-01	9.150149e-04	9	
3.070033e-01	3.394411e-01	8.127343e-02	1.175879e-01	1.537434e-03	16	
5.631404e-01	4.234739e-01	2.433326e-01	7.004479e-02	2.374527e-03	10	
3.913577e-01	3.318638e-01	4.567592e-01	1.074978e-01	2.435406e-03	11	
1.993407e-01	1.932091e-01	9.745602e-02	8.826651e-02	2.064969e-03	11	
1.323202e-01	7.053393e-02	5.068057e-01	3.015431e-01	1.868125e-03	7	
5.337299e-01	5.809224e-01	6.909256e-01	7.653324e-01	2.036783e-03	19	
2.063238e-02	2.388579e-02	4.158284e-01	4.363983e-01	2.595219e-03	19	
3.924796e-01	3.019722e-01	6.828424e-01	3.655265e-01	3.792968e-03	21	
3.652315e-01	4.683904e-01	5.671700e-01	8.245182e-01	3.034276e-03	22	
6.193137e-02	4.827358e-02	9.246802e-01	8.285099e-01	1.433819e-03	6	
9.500495e-02	1.279887e-01	9.225676e-01	9.514908e-01	2.713898e-03	14	
8.513108e-01	8.287411e-01	4.541236e-01	3.388168e-01	3.247636e-03	17	
2.726322e-01	3.437504e-01	5.233004e-01	5.329796e-01	3.728092e-03	26	
2.641846e-01	2.651723e-01	1.749856e-01	1.589753e-01	3.308987e-03	31	
4.045461e-02	3.870457e-02	7.007674e-02	1.335017e-01	3.654704e-03	34	
2.257721e-01	1.951456e-01	2.079329e-01	1.659606e-01	3.527216e-03	22	
5.491076e-01	5.907023e-01	9.274017e-01	9.501088e-01	3.106585e-03	22	
4.835604e-01	5.466769e-01	7.806754e-01	8.327087e-01	4.378585e-03	35	
7.988943e-01	7.662731e-01	7.614605e-01	7.723040e-01	4.531889e-03	29	
4.037225e-01	3.330265e-01	1.035360e-01	3.070677e-01	2.917608e-03	20	
1.869127e-01	1.285811e-01	5.473732e-01	4.255821e-01	1.845809e-03	8	
3.796956e-01	4.443906e-01	5.040801e-02	3.835520e-02	1.636739e-03	14	
1.863467e-01	1.361452e-01	8.963426e-01	8.464989e-01	2.914236e-03	16	
6.158536e-01	6.059119e-01	2.782867e-01	3.293251e-01	4.744814e-03	30	
4.331695e-01	4.669224e-01	8.476439e-01	8.386385e-01	4.441942e-03	20	
6.175405e-01	5.847786e-01	1.070666e-02	9.321835e-03	4.226250e-03	35	
5.289393e-01	5.714612e-01	4.417442e-01	3.687175e-01	6.429426e-03	41	
3.715616e-01	3.126311e-01	4.074531e-01	3.477798e-01	6.384097e-03	37	
1.673612e-01	1.934566e-01	4.764416e-01	3.959968e-01	5.563114e-03	38	
7.419940e-02	7.614414e-02	4.055385e-01	4.022983e-01	5.264037e-03	40	
1.513101e-01	1.294868e-01	1.566847e-01	4.573721e-01	5.186905e-03	46	
6.707125e-01	7.212655e-01	1.527177e-01	1.755984e-01	4.903611e-03	40	
2.973804e-01	2.534391e-01	1.051890e-01	9.110398e-02	4.247543e-03	26	
4.374800e-01	4.090034e-01	3.765883e-01	2.140146e-01	4.010976e-03	29	
2.691628e-01	2.341786e-01	4.145670e-01	3.635905e-01	3.114233e-03	23	
3.339033e-01	4.026186e-01	2.278825e-01	1.651313e-01	4.769840e-03	29	
2.807346e-01	2.546665e-01	2.015838e-01	2.541628e-01	6.374528e-03	46	
4.394439e-01	5.505669e-01	8.815941e-01	9.513548e-01	5.947894e-03	46	
1.793597e-01	1.828475e-01	3.337320e-01	2.815448e-01	6.591576e-03	41	
6.207871e-01	5.790700e-01	5.563049e-01	5.129142e-01	6.139618e-03	49	
7.615293e-02	8.103097e-02	4.564426e-01	6.082490e-01	8.873147e-03	64	
7.127756e-01	6.716795e-01	5.642935e-02	9.319132e-02	8.013658e-03	55	
2.902740e-01	2.514292e-01	5.491717e-01	3.142551e-01	8.408264e-03	48	
5.367513e-01	4.132434e-01	8.851498e-01	8.076060e-01	1.095915e-02	60	
4.361110e-01	5.882251e-01	7.629440e-01	8.705784e-01	1.208826e-02	78	
6.044489e-01	6.211892e-01	5.221583e-01	3.721754e-01	1.412521e-02	96	
2.197328e-01	2.797188e-01	4.184366e-01	4.747362e-01	1.567683e-02	114	
6.098956e-01	5.820262e-01	9.563109e-01	9.514240e-01	1.695391e-02	113	
7.116695e-01	6.647756e-01	2.799688e-01	2.538570e-01	1.677043e-02	112	
6.159528e-01	6.025232e-01	5.354943e-01	5.101038e-01	1.746366e-02	127	
6.654209e-01	6.181163e-01	4.663577e-01	4.613521e-01	1.548633e-02	118	
1.633293e-01	1.922855e-01	4.664234e-01	5.677250e-01	1.171850e-02	100	
1.954482e-01	2.314271e-01	6.273707e-01	5.417186e-01	1.360596e-02	98	
1.382868e-01	1.320804e-01	2.893611e-01	2.291028e-01	1.167970e-02	96	
2.520193e-01	2.764160e-01	5.377707e-01	6.214658e-01	1.229520e-02	94	
4.558483e-01	5.091683e-01	3.073382e-01	2.578792e-01	1.455837e-02	96	
2.773946e-01	2.523654e-01	6.637728e-01	4.970944e-01	1.260167e-02	91	
3.630439e-01	3.510367e-01	2.345847e-01	1.298220e-01	1.190019e-02	78	
5.167373e-01	4.604617e-01	5.812645e-01	6.205180e-01	1.027526e-02	69	
4.754766e-01	4.325135e-01	6.312331e-01	5.153201e-01	1.048114e-02	77	
1.434981e-01	1.411579e-01	5.683881e-01	5.448277e-01	1.114130e-02	83	
1.168540e-01	1.160800e-01	6.828096e-01	7.154667e-01	8.174934e-03	77	
1.997831e-01	2.494430e-01	8.267980e-01	8.038978e-01	8.624575e-03	76	
6.308696e-01	6.193464e-01	5.786901e-01	5.284128e-01	1.023417e-02	75	
4.752593e-01	4.506876e-01	4.472305e-01	4.694047e-01	7.155514e-03	71	
4.411012e-01	4.671902e-01	2.640432e-01	9.448949e-02	8.832179e-03	65	
5.124750e-01	5.074006e-01	8.872348e-01	8.233301e-01	7.586455e-03	57	
3.314592e-01	3.958688e-01	4.494507e-01	4.227115e-01	9.319321e-03	65	
2.966528e-01	3.379888e-01	4.088546e-02	4.250399e-02	9.194618e-03	67	
2.246082e-01	2.295531e-01	7.670418e-01	8.182842e-01	7.044991e-03	62	
6.122265e-01	6.587984e-01	6.308305e-01	6.040985e-01	7.560003e-03	62	
9.623753e-02	6.961539e-02	3.531400e-01	4.703011e-01	7.642768e-03	67	
4.555254e-01	3.639160e-01	6.977684e-02	7.004544e-02	1.106720e-02	60	
4.822918e-01	4.707734e-01	1.278251e-01	1.269743e-01	8.598730e-03	66	
5.004274e-01	4.900898e-01	7.901920e-01	6.263767e-01	8.970573e-03	66	
2.768460e-01	2.908694e-01	7.892560e-01	8.215921e-01	9.829106e-03	57	
3.957621e-01	3.459608e-01	4.601613e-02	6.651543e-02	9.499284e-03	64	
4.030587e-01	4.593683e-01	5.367302e-01	3.989018e-01	8.190465e-03	67	
6.061973e-01	6.536471e-01	4.972437e-01	5.685055e-01	9.525620e-03	67	
1.989819e-01	2.113463e-01	6.729997e-01	8.124105e-01	8.133450e-03	54	
5.814321e-01	5.360557e-01	2.654704e-01	3.537377e-01	7.437475e-03	62	
4.407565e-01	4.621391e-01	2.897572e-01	1.977702e-01	8.352877e-03	65	
3.556815e-01	4.533004e-01	3.651074e-01	2.394221e-01	1.072751e-02	70	
3.402446e-01	3.390943e-01	8.979863e-01	8.950832e-01	1.312110e-02	83	
1.686961e-01	1.683484e-01	3.213426e-01	2.061892e-01	1.467510e-02	79	
6.548636e-01	6.644560e-01	5.510757e-01	5.752811e-01	1.183580e-02	83	
5.373692e-01	5.793213e-01	2.726028e-01	2.036648e-01	1.233215e-02	82	
8.305216e-01	8.105747e-01	1.093380e-01	2.010175e-01	1.101540e-02	88	
2.957878e-01	2.815633e-01	4.146247e-01	3.652887e-01	1.270327e-02	82	
6.805782e-01	6.231382e-01	5.915606e-01	5.766055e-01	1.122100e-02	82	
4.068830e-01	3.357995e-01	5.699858e-01	6.616462e-01	1.080725e-02	81	
7.744316e-01	7.277179e-01	3.851428e-01	2.982288e-01	1.242926e-02	94	
3.557827e-01	3.944997e-01	7.577813e-01	8.747166e-01	9.268742e-03	79	
6.040701e-01	7.296379e-01	1.128999e-01	6.247821e-02	1.378060e-02	83	
1.135007e-01	1.478671e-01	3.493880e-01	4.843508e-01	7.902895e-03	71	
4.064990e-01	4.127548e-01	5.872784e-01	5.427408e-01	8.117635e-03	63	
5.314972e-01	5.229078e-01	2.061188e-01	1.578846e-01	8.490268e-03	49	
1.523690e-01	1.219847e-01	5.742742e-01	4.195935e-01	5.139226e-03	35	
4.472327e-01	4.822531e-01	7.351252e-02	5.606811e-02	5.058448e-03	31	
5.559813e-01	6.079732e-01	1.132167e-01	7.682589e-02	5.111677e-03	36	
2.715300e-01	2.864170e-01	2.226963e-01	2.145382e-01	5.383304e-03	39	
1.157022e-01	1.852744e-01	6.042113e-01	8.283398e-01	4.238930e-03	37	
5.175962e-01	4.650640e-01	4.434119e-01	4.122944e-01	4.216452e-03	40	
4.526534e-01	3.847019e-01	9.248647e-01	8.764402e-01	6.198282e-03	33	
1.485519e-01	1.346267e-01	2.067259e-01	2.244589e-01	4.122251e-03	28	
3.914570e-01	4.799406e-01	5.698980e-01	4.519564e-01	4.145206e-03	36	
7.279137e-01	6.090091e-01	2.076923e-01	3.616423e-01	4.498540e-03	36	
3.799420e-01	3.445530e-01	5.211595e-01	5.637323e-01	5.010541e-03	33	
3.702956e-01	3.458958e-01	2.534483e-01	1.989614e-01	3.345107e-03	30	
2.873242e-01	2.652235e-01	5.005336e-01	5.285879e-01	3.542036e-03	26	
2.454387e-01	3.050273e-01	6.224925e-01	6.922050e-01	4.069895e-03	38	
4.876129e-01	5.787181e-01	5.192308e-01	6.631534e-01	5.229897e-03	38	
1.141624e-01	1.113936e-01	1.014093e-01	1.486773e-01	3.572205e-03	31	
1.145071e-01	8.440585e-02	5.567963e-01	3.916486e-01	3.843381e-03	19	
4.706606e-01	5.513099e-01	9.369984e-01	9.298109e-01	2.857471e-03	19	
2.453015e-01	1.581139e-01	1.387984e-01	1.093294e-01	2.833673e-03	18	
2.684597e-01	2.791168e-01	2.984421e-01	2.496857e-01	4.030659e-03	33	
3.808122e-01	4.383967e-01	9.665272e-01	9.768932e-01	5.242641e-03	37	
1.248345e-01	1.066033e-01	6.364465e-01	6.976827e-01	5.142321e-03	47	
7.089411e-01	6.638929e-01	9.069402e-01	8.319408e-01	6.845011e-03	51	
4.294973e-01	3.675508e-01	3.994043e-01	4.513702e-01	6.473395e-03	60	
2.228255e-02	2.422997e-02	5.620262e-01	5.945169e-01	7.287026e-03	62	
1.223468e-01	1.122560e-01	7.696559e-01	7.278235e-01	7.919042e-03	56	
4.422459e-01	4.146290e-01	4.120804e-01	4.505676e-01	7.187173e-03	56	
1.558600e-01	1.241443e-01	8.802682e-01	7.641516e-01	7.280600e-03	64	
8.503136e-02	6.815225e-02	5.416101e-01	5.749666e-01	1.105082e-02	58	
4.926939e-01	5.455086e-01	1.156630e-01	1.525476e-01	8.921630e-03	58	
8.475061e-02	1.171150e-01	1.844469e-01	1.247304e-01	9.224038e-03	65	
5.080336e-01	5.053953e-01	7.031785e-01	6.653176e-01	1.202803e-02	77	
5.874902e-01	5.815608e-01	9.892844e-01	9.917675e-01	1.058206e-02	76	
5.072643e-01	5.331619e-01	8.321818e-01	8.062373e-01	1.005473e-02	56	
2.599287e-01	3.272933e-01	7.683635e-01	8.447964e-01	6.715106e-03	58	
5.893577e-03	5.286412e-03	4.967885e-02	4.311736e-02	8.844506e-03	66	
2.540542e-01	3.212388e-01	9.619781e-01	9.557403e-01	1.255965e-02	80	
2.239836e-01	1.405179e-01	1.816055e-01	1.704547e-01	9.233913e-03	75	
1.965698e-01	2.054890e-01	5.179835e-01	4.076838e-01	1.062379e-02	75	
6.797881e-01	6.977886e-01	9.209794e-01	9.442086e-01	1.165259e-02	73	
5.360985e-01	5.587457e-01	3.834607e-01	3.334634e-01	9.677813e-03	73	
2.374254e-01	2.252791e-01	7.497667e-01	6.457027e-01	8.491887e-03	55	
2.183296e-01	1.957489e-01	4.738995e-01	2.605652e-01	7.416674e-03	54	
8.749264e-01	8.201779e-01	3.103502e-01	2.024865e-01	6.629590e-03	46	
6.672008e-01	6.503131e-01	2.038697e-01	1.901960e-01	4.816974e-03	35	
4.593887e-01	4.292213e-01	7.266803e-01	6.767368e-01	4.593389e-03	34	
2.099596e-01	1.803396e-01	7.854252e-02	1.086841e-01	3.506635e-03	27	
6.584113e-01	6.727608e-01	2.184084e-01	2.235777e-01	3.555926e-03	38	
8.488707e-02	5.937306e-02	4.177291e-01	3.256722e-01	4.268694e-03	28	
5.675360e-01	6.124912e-01	7.384159e-01	7.100126e-01	3.048930e-03	31	
4.837588e-01	5.140989e-01	1.131117e-01	7.063785e-02	2.958528e-03	21	
5.814798e-02	4.829492e-02	4.608170e-02	3.845204e-02	3.381054e-03	27	
3.927968e-01	5.310070e-01	9.671688e-03	3.752131e-03	4.921083e-03	31	
3.307489e-01	3.672611e-01	8.397549e-01	8.628747e-01	2.816372e-03	26	
1.142125e-01	1.574869e-01	4.890894e-01	6.535234e-01	1.915001e-03	25	
2.659282e-01	2.841367e-01	4.101181e-01	4.147323e-01	1.636297e-03	18	
6.004173e-01	5.413869e-01	2.564407e-01	1.351128e-01	2.193777e-03	10	
5.590006e-01	5.348223e-01	9.407461e-01	9.453570e-01	1.843541e-03	14	
3.519361e-01	3.800691e-01	6.529579e-01	5.424230e-01	2.030512e-03	15	
5.053773e-01	5.426573e-01	4.326838e-01	5.625302e-01	1.785321e-03	12	
5.576232e-01	5.286252e-01	4.721959e-01	5.614138e-01	1.162538e-03	7	
3.788911e-01	4.775735e-01	3.645921e-01	3.112428e-01	1.225325e-03	12	
5.951662e-01	6.859911e-01	5.920259e-01	7.192897e-01	1.754848e-03	17	
6.520572e-01	5.628033e-01	2.335359e-01	1.011213e-01	1.796092e-03	12	
6.333477e-01	5.595379e-01	3.713086e-01	4.386406e-01	2.743460e-03	20	
3.434208e-01	2.838641e-01	5.965190e-01	4.867787e-01	4.065429e-03	27	
6.595723e-01	6.899355e-01	9.524418e-02	7.740005e-02	3.588144e-03	25	
2.679308e-01	2.209345e-01	8.380125e-01	8.202929e-01	3.881875e-03	25	
4.472375e-01	5.827591e-01	6.934347e-01	7.888603e-01	3.230300e-03	26	
4.719715e-01	5.281038e-01	9.059071e-01	8.992137e-01	3.200185e-03	22	
7.448612e-01	7.091631e-01	3.488544e-01	2.882167e-01	2.570514e-03	14	
2.560798e-01	2.315420e-01	9.530215e-01	9.561694e-01	1.759968e-03	13	
5.796515e-02	6.784212e-02	9.859109e-01	9.818233e-01	1.560001e-03	15	
6.155470e-01	4.753840e-01	5.398146e-01	2.897644e-01	1.123357e-03	6	
2.797724e-01	3.556125e-01	8.071669e-01	8.599763e-01	1.091255e-03	12	
4.098845e-01	4.975614e-01	6.949994e-01	7.398370e-01	1.287222e-03	8	
3.616176e-01	4.123589e-01	3.726687e-01	3.685134e-01	1.281778e-03	12	
4.147181e-01	3.759448e-01	6.146420e-01	2.549829e-01	1.031715e-03	6	
4.956207e-01	3.746622e-01	2.739611e-01	1.459374e-01	1.399612e-03	5	
9.281735e-02	9.556522e-02	2.076908e-01	1.383623e-01	1.665123e-03	21	
4.612137e-01	5.282903e-01	6.488245e-01	6.864294e-01	3.438008e-03	29	
6.948026e-01	6.913526e-01	4.423187e-01	2.027313e-01	2.884323e-03	21	
4.302164e-01	3.210182e-01	8.858193e-01	7.512360e-01	3.585100e-03	22	
6.099342e-02	6.960458e-02	5.030339e-02	8.815409e-02	2.189647e-03	18	
8.760107e-01	8.331222e-01	2.163024e-01	1.710888e-01	3.619878e-03	20	
2.687705e-01	3.276538e-01	5.901056e-01	5.939217e-01	3.889229e-03	27	
5.862513e-01	5.495077e-01	5.277315e-01	5.942658e-01	3.398360e-03	22	
3.691953e-01	3.303869e-01	9.978522e-02	1.922796e-01	3.686078e-03	32	
7.267226e-01	6.857359e-01	1.733324e-01	1.675084e-01	3.346637e-03	24	
1.203515e-01	7.627455e-02	2.492588e-02	5.503400e-02	3.255743e-03	17	
2.076936e-01	2.412205e-01	2.859688e-01	2.378603e-01	4.065715e-03	29	
