age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date
92,23223,8070,M,+/+,"09,41,32,22,18,14,12",Plasma Glucose,2019-08-21
63,23224,8071,M,+/+,22400,Body Weight,2019-07-23
63,23224,8071,M,+/+,2780,Total Fat Mass,2019-07-23
63,23224,8071,M,+/+,17440,Lean Mass,2019-07-23
70,23224,8071,M,+/+,23000,Body Weight,2019-07-30
70,23224,8071,M,+/+,2100,Total Fat Mass,2019-07-30
70,23224,8071,M,+/+,19230,Lean Mass,2019-07-30
72,23224,8071,M,+/+,"04,18,24,22,24,23,18",Plasma Glucose,2019-08-01
77,23224,8071,M,+/+,22500,Body Weight,2019-08-06
77,23224,8071,M,+/+,2040,Total Fat Mass,2019-08-06
77,23224,8071,M,+/+,18210,Lean Mass,2019-08-06
84,23224,8071,M,+/+,21400,Body Weight,2019-08-13
84,23224,8071,M,+/+,1430,Total Fat Mass,2019-08-13
84,23224,8071,M,+/+,17770,Lean Mass,2019-08-13
91,23224,8071,M,+/+,23900,Body Weight,2019-08-20
91,23224,8071,M,+/+,2920,Total Fat Mass,2019-08-20
91,23224,8071,M,+/+,18450,Lean Mass,2019-08-20
92,23224,8071,M,+/+,"08,36,36,48,41,34,36",Plasma Glucose,2019-08-21
63,23225,8072,M,+/+,22700,Body Weight,2019-07-23
63,23225,8072,M,+/+,3220,Total Fat Mass,2019-07-23
63,23225,8072,M,+/+,17440,Lean Mass,2019-07-23
70,23225,8072,M,+/+,25600,Body Weight,2019-07-30
70,23225,8072,M,+/+,4160,Total Fat Mass,2019-07-30
70,23225,8072,M,+/+,19380,Lean Mass,2019-07-30
72,23225,8072,M,+/+,"06,23,33,30,27,22,19",Plasma Glucose,2019-08-01
77,23225,8072,M,+/+,27100,Body Weight,2019-08-06
77,23225,8072,M,+/+,6850,Total Fat Mass,2019-08-06
77,23225,8072,M,+/+,18350,Lean Mass,2019-08-06
84,23225,8072,M,+/+,27600,Body Weight,2019-08-13
84,23225,8072,M,+/+,7850,Total Fat Mass,2019-08-13
84,23225,8072,M,+/+,18000,Lean Mass,2019-08-13
91,23225,8072,M,+/+,27900,Body Weight,2019-08-20
91,23225,8072,M,+/+,7890,Total Fat Mass,2019-08-20
91,23225,8072,M,+/+,17900,Lean Mass,2019-08-20
92,23225,8072,M,+/+,"07,48,46,40,33,27,24",Plasma Glucose,2019-08-21
63,23226,8073,M,+/+,21900,Body Weight,2019-07-23
63,23226,8073,M,+/+,2890,Total Fat Mass,2019-07-23
63,23226,8073,M,+/+,17010,Lean Mass,2019-07-23
70,23226,8073,M,+/+,22900,Body Weight,2019-07-30
70,23226,8073,M,+/+,2640,Total Fat Mass,2019-07-30
70,23226,8073,M,+/+,18570,Lean Mass,2019-07-30
72,23226,8073,M,+/+,"09,45,42,49,43,34,30",Plasma Glucose,2019-08-01
77,23226,8073,M,+/+,24000,Body Weight,2019-08-06
77,23226,8073,M,+/+,4690,Total Fat Mass,2019-08-06
77,23226,8073,M,+/+,17280,Lean Mass,2019-08-06
84,23226,8073,M,+/+,21500,Body Weight,2019-08-13
84,23226,8073,M,+/+,3110,Total Fat Mass,2019-08-13
84,23226,8073,M,+/+,16560,Lean Mass,2019-08-13
91,23226,8073,M,+/+,22000,Body Weight,2019-08-20
91,23226,8073,M,+/+,2930,Total Fat Mass,2019-08-20
91,23226,8073,M,+/+,16880,Lean Mass,2019-08-20
92,23226,8073,M,+/+,"08,34,38,35,31,26,23",Plasma Glucose,2019-08-21
63,23227,8074,M,+/+,25300,Body Weight,2019-07-23
63,23227,8074,M,+/+,3790,Total Fat Mass,2019-07-23
63,23227,8074,M,+/+,19540,Lean Mass,2019-07-23
70,23227,8074,M,+/+,27300,Body Weight,2019-07-30
70,23227,8074,M,+/+,3680,Total Fat Mass,2019-07-30
70,23227,8074,M,+/+,21440,Lean Mass,2019-07-30
72,23227,8074,M,+/+,"06,24,26,20,16,14,16",Plasma Glucose,2019-08-01
77,23227,8074,M,+/+,28900,Body Weight,2019-08-06
77,23227,8074,M,+/+,5930,Total Fat Mass,2019-08-06
77,23227,8074,M,+/+,21050,Lean Mass,2019-08-06
84,23227,8074,M,+/+,28800,Body Weight,2019-08-13
84,23227,8074,M,+/+,6090,Total Fat Mass,2019-08-13
84,23227,8074,M,+/+,20680,Lean Mass,2019-08-13
91,23227,8074,M,+/+,30500,Body Weight,2019-08-20
91,23227,8074,M,+/+,6960,Total Fat Mass,2019-08-20
91,23227,8074,M,+/+,21010,Lean Mass,2019-08-20
92,23227,8074,M,+/+,"07,27,21,16,13,11,10",Plasma Glucose,2019-08-21
