Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Curve Quality,Result Quality Issues
A14,false,8064,Rplp0,Unknown,SYBR,22.765641743424027,0.990930398784473,2.8032143141722177,Amp,false,58167.02598830112,3,14,84.84341430664062,,
A15,false,8064,Rplp0,Unknown,SYBR,22.95014740672817,0.9904962127333757,2.791343349263752,Amp,false,58167.02598830112,3,15,84.95633697509766,,
B13,false,8065,Rplp0,Unknown,SYBR,20.537984945132195,0.9873870668229103,2.811433385791723,Amp,false,58167.02598830112,3,13,85.18218231201172,,
B14,false,8065,Rplp0,Unknown,SYBR,21.048076761663715,0.9837479213117767,2.762143148559292,Amp,false,58167.02598830112,3,12,84.95633697509766,,
B15,false,8065,Rplp0,Unknown,SYBR,21.040489200097817,0.9886052487043171,2.8096798783360857,Amp,false,58167.02598830112,3,12,84.7304916381836,,
C13,false,8066,Rplp0,Unknown,SYBR,23.786299534267073,0.9897817512226839,2.7894452948481048,Amp,false,58167.02598830112,3,14,85.06925964355469,,
C14,false,8066,Rplp0,Unknown,SYBR,23.661240403861683,0.9902108468204037,2.8234658223457756,Amp,false,58167.02598830112,3,15,84.84341430664062,,
C15,false,8066,Rplp0,Unknown,SYBR,23.987834004475395,0.98564185430429,2.818373718183023,Amp,false,58167.02598830112,3,16,84.84341430664062,,
D13,false,8067,Rplp0,Unknown,SYBR,19.686247418777192,0.9836378722990625,2.800779894859724,Amp,false,58167.02598830112,3,11,85.52095031738281,,
D14,false,8067,Rplp0,Unknown,SYBR,19.858948781945905,0.9828646212584659,2.81434256162046,Amp,false,58167.02598830112,3,13,84.84341430664062,,
D15,false,8067,Rplp0,Unknown,SYBR,20.042431445730955,0.972790235607562,2.8086226009864976,Amp,false,58167.02598830112,3,12,84.84341430664062,,
E13,false,8068,Rplp0,Unknown,SYBR,21.67053801065184,0.9910333425106393,2.8165274133671696,Amp,false,58167.02598830112,3,15,85.18218231201172,,
E14,false,8068,Rplp0,Unknown,SYBR,22.049990875219194,0.9850072717419424,2.783605765383839,Amp,false,58167.02598830112,3,13,84.7304916381836,,
E15,false,8068,Rplp0,Unknown,SYBR,21.922416686022885,0.9904591243540704,2.814083731619803,Amp,false,58167.02598830112,3,12,84.84341430664062,,
F13,false,8069,Rplp0,Unknown,SYBR,21.7870755651306,0.9887397768940602,2.8200790090615606,Amp,false,58167.02598830112,3,13,85.06925964355469,,
F14,false,8069,Rplp0,Unknown,SYBR,22.25603779961606,0.9878060873564838,2.754442849360622,Amp,false,58167.02598830112,3,13,84.61756896972656,,
F15,false,8069,Rplp0,Unknown,SYBR,22.05325462346125,0.989103840038937,2.8232429496217146,Amp,false,58167.02598830112,3,14,84.84341430664062,,
G13,false,8070,Rplp0,Unknown,SYBR,20.779509226454124,0.985337242617669,2.8257666131781685,Amp,false,58167.02598830112,3,13,85.18218231201172,,
G14,false,8070,Rplp0,Unknown,SYBR,21.271492466291903,0.9835052011772092,2.760846461069786,Amp,false,58167.02598830112,3,12,84.95633697509766,,
G15,false,8070,Rplp0,Unknown,SYBR,20.863782676211464,0.985187194234916,2.8181998121506906,Amp,false,58167.02598830112,3,13,84.84341430664062,,
H13,false,8071,Rplp0,Unknown,SYBR,21.05113902882495,0.9618003328312192,2.8156004345470027,Amp,false,58167.02598830112,3,14,85.06925964355469,,
H14,false,8071,Rplp0,Unknown,SYBR,20.93815997056867,0.9866074593118597,2.8140580025946225,Amp,false,58167.02598830112,3,13,84.95633697509766,,
H15,false,8071,Rplp0,Unknown,SYBR,21.325431214588157,0.9602449595770705,2.8127168876628743,Amp,false,58167.02598830112,3,14,84.84341430664062,,
A16,false,8072,Rplp0,Unknown,SYBR,21.20063113141798,0.9856197356624613,2.7853291967276608,Amp,false,58167.02598830112,3,13,85.18218231201172,,
A17,false,8072,Rplp0,Unknown,SYBR,21.364880265358607,0.9883003450429442,2.789752750993152,Amp,false,58167.02598830112,3,12,84.57625579833984,,
A18,false,8072,Rplp0,Unknown,SYBR,21.234891331710955,0.9808284176029295,2.797320966089888,Amp,false,58167.02598830112,3,14,84.91445922851562,,
B16,false,8073,Rplp0,Unknown,SYBR,20.5701885090414,0.9835478824696032,2.7930333926431765,Amp,false,58167.02598830112,3,12,85.18218231201172,,
B17,false,8073,Rplp0,Unknown,SYBR,20.624692035133783,0.9893193368755732,2.8069528153036294,Amp,false,58167.02598830112,3,13,84.68899536132812,,
B18,false,8073,Rplp0,Unknown,SYBR,20.89358576540431,0.9864531700672329,2.7360272703443176,Amp,false,58167.02598830112,3,13,84.91445922851562,,
C16,false,8074,Rplp0,Unknown,SYBR,21.03030601426071,0.9815817986112038,2.7979949307928718,Amp,false,58167.02598830112,3,13,85.06925964355469,,
C17,false,8074,Rplp0,Unknown,SYBR,20.966656631127513,0.990902932934449,2.8073440527396136,Amp,false,58167.02598830112,3,12,84.68899536132812,,
C18,false,8074,Rplp0,Unknown,SYBR,20.681209278564396,0.986891135608101,2.8066388673630263,Amp,false,58167.02598830112,3,12,85.0271987915039,,
