Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
F12,FALSE,4111,Slc16a6,Unknown,SYBR-NFQ-MGB,34.79835774,0.926476768,2.552506242,Inconclusive,FALSE,10588.33268,3,26,81.15829468,83.87375641,74.70906067,,,
F13,FALSE,4098,Slc16a6,Unknown,SYBR-NFQ-MGB,34.31275217,0.903315814,2.640282401,Amp,FALSE,10588.33268,3,25,81.03286743,83.63362885,68.0290451,,,
F14,FALSE,4093,Slc16a6,Unknown,SYBR-NFQ-MGB,35.75233443,0.825937559,2.463710366,Inconclusive,FALSE,10588.33268,3,30,74.92672729,,,,,
F15,FALSE,4097,Slc16a6,Unknown,SYBR-NFQ-MGB,34.58699871,0.936639007,2.588299668,Inconclusive,FALSE,10588.33268,3,29,74.81364441,83.63362885,79.22364044,,,
F16,FALSE,4095,Slc16a6,Unknown,SYBR-NFQ-MGB,35.60776247,0.870079232,2.486143031,Inconclusive,FALSE,10588.33268,3,31,84.19901276,77.86671448,66.89827728,75.71826172,,
F17,FALSE,4108,Slc16a6,Unknown,SYBR-NFQ-MGB,33.88109245,0.929715765,2.627812293,Amp,FALSE,10588.33268,3,28,77.72742462,81.00178528,,,,
F18,FALSE,4104,Slc16a6,Unknown,SYBR-NFQ-MGB,35.66287453,0.720196956,2.479052639,Inconclusive,FALSE,10588.33268,3,30,83.71160889,74.67887878,79.19524384,87.66342163,,
F19,FALSE,4116,Slc16a6,Unknown,SYBR-NFQ-MGB,33.91588155,0.942893806,2.600809412,Amp,FALSE,10588.33268,3,26,81.00178528,83.25997162,,,,
F20,FALSE,4117,Slc16a6,Unknown,SYBR-NFQ-MGB,33.77449537,0.945033465,2.60728545,Amp,FALSE,10588.33268,3,29,74.56597137,83.93742371,81.00178528,,,
F21,FALSE,4103,Slc16a6,Unknown,SYBR-NFQ-MGB,33.67558079,0.954642662,2.604818645,Amp,FALSE,10588.33268,3,28,75.68185425,83.69200897,,,,
F22,FALSE,4096,Slc16a6,Unknown,SYBR-NFQ-MGB,34.67891294,0.881782517,2.572886944,Amp,FALSE,10588.33268,3,30,83.69200897,81.09716797,75.68185425,68.46143341,,
F23,FALSE,4114,Slc16a6,Unknown,SYBR-NFQ-MGB,35.44506933,0.893879117,2.408254254,Amp,FALSE,10588.33268,3,26,81.774086,75.1177597,,,,
F24,FALSE,4094,Slc16a6,Unknown,SYBR-NFQ-MGB,34.99615548,0.834008527,2.423483056,Amp,FALSE,10588.33268,3,30,75.79467773,,,,,
G1,FALSE,4102,OXCT1,Unknown,SYBR-NFQ-MGB,21.87700467,0.956768691,2.569635688,Amp,FALSE,17075.50685,3,17,80.58229828,,,,,
G2,FALSE,4090,OXCT1,Unknown,SYBR-NFQ-MGB,23.02664718,0.975351454,2.588533651,Amp,FALSE,17075.50685,3,17,80.24303436,,,,,
G3,FALSE,4088,OXCT1,Unknown,SYBR-NFQ-MGB,21.71619938,0.945509626,2.622751505,Amp,FALSE,17075.50685,3,16,80.24303436,,,,,
G4,FALSE,4110,OXCT1,Unknown,SYBR-NFQ-MGB,22.98609816,0.977910354,2.608005209,Amp,FALSE,17075.50685,3,17,80.12994385,,,,,
G5,FALSE,4115,OXCT1,Unknown,SYBR-NFQ-MGB,21.29253404,0.925244961,2.632318575,Amp,FALSE,17075.50685,3,15,80.26005554,,,,,
G6,FALSE,4087,OXCT1,Unknown,SYBR-NFQ-MGB,20.47948236,0.942593048,2.625805538,Amp,FALSE,17075.50685,3,15,80.37323761,,,,,
G7,FALSE,4089,OXCT1,Unknown,SYBR-NFQ-MGB,20.05372287,0.921430241,2.626364761,Amp,FALSE,17075.50685,3,13,80.37323761,,,,,
G8,FALSE,4091,OXCT1,Unknown,SYBR-NFQ-MGB,22.00309468,0.968744908,2.631890281,Amp,FALSE,17075.50685,3,16,80.37323761,,,,,
G9,FALSE,4112,OXCT1,Unknown,SYBR-NFQ-MGB,21.04958131,0.949813078,2.646247612,Amp,FALSE,17075.50685,3,16,80.59257507,,,,,
G10,FALSE,4106,OXCT1,Unknown,SYBR-NFQ-MGB,19.95681489,0.931745776,2.635993095,Amp,FALSE,17075.50685,3,14,80.47942352,,,,,
G11,FALSE,4102,OXCT1,Unknown,SYBR-NFQ-MGB,23.83229309,0.989577821,2.649605275,Amp,FALSE,17075.50685,3,16,80.59257507,,,,,
G12,FALSE,4111,OXCT1,Unknown,SYBR-NFQ-MGB,22.42487787,0.955729218,2.673259911,Amp,FALSE,17075.50685,3,15,80.59257507,,,,,
G13,FALSE,4098,OXCT1,Unknown,SYBR-NFQ-MGB,22.24909563,0.954132143,2.690376307,Amp,FALSE,17075.50685,3,15,80.46748352,,,,,
G14,FALSE,4093,OXCT1,Unknown,SYBR-NFQ-MGB,22.19968861,0.944599557,2.682028062,Amp,FALSE,17075.50685,3,14,80.46748352,,,,,
G15,FALSE,4097,OXCT1,Unknown,SYBR-NFQ-MGB,20.92337425,0.930956178,2.686639113,Amp,FALSE,17075.50685,3,15,80.46748352,,,,,
G16,FALSE,4095,OXCT1,Unknown,SYBR-NFQ-MGB,19.95165924,0.906310996,2.659792111,Amp,FALSE,17075.50685,3,15,80.46748352,,,,,
G17,FALSE,4108,OXCT1,Unknown,SYBR-NFQ-MGB,19.97412472,0.891571734,2.674728707,Amp,FALSE,17075.50685,3,13,80.55015564,,,,,
G18,FALSE,4104,OXCT1,Unknown,SYBR-NFQ-MGB,21.4649737,0.917681752,2.658560911,Amp,FALSE,17075.50685,3,15,80.66306305,,,,,
G19,FALSE,4116,OXCT1,Unknown,SYBR-NFQ-MGB,21.83814679,0.91678293,2.648001816,Amp,FALSE,17075.50685,3,17,80.66306305,,,,,
G20,FALSE,4117,OXCT1,Unknown,SYBR-NFQ-MGB,21.82255718,0.921673851,2.642927787,Amp,FALSE,17075.50685,3,15,80.66306305,,,,,
G21,FALSE,4103,OXCT1,Unknown,SYBR-NFQ-MGB,21.12127535,0.914704075,2.647030907,Amp,FALSE,17075.50685,3,13,80.64589691,,,,,
G22,FALSE,4096,OXCT1,Unknown,SYBR-NFQ-MGB,21.63709447,0.921760582,2.635669799,Amp,FALSE,17075.50685,3,16,80.64589691,,,,,
G23,FALSE,4114,OXCT1,Unknown,SYBR-NFQ-MGB,20.73399299,0.929542352,2.634143806,Amp,FALSE,17075.50685,3,15,80.53307343,,,,,
G24,FALSE,4094,OXCT1,Unknown,SYBR-NFQ-MGB,20.43783158,0.913374217,2.592972822,Amp,FALSE,17075.50685,3,15,80.64589691,,,,,
H1,FALSE,4102,OXCT1,Unknown,SYBR-NFQ-MGB,22.03805778,0.960674561,2.574186497,Amp,FALSE,17075.50685,3,16,80.35612488,,,,,
H2,FALSE,4090,OXCT1,Unknown,SYBR-NFQ-MGB,23.11991548,0.963003815,2.579866724,Amp,FALSE,17075.50685,3,16,80.12994385,,,,,
H3,FALSE,4088,OXCT1,Unknown,SYBR-NFQ-MGB,21.90560846,0.977373442,2.609015763,Amp,FALSE,17075.50685,3,14,80.24303436,,,,,
H4,FALSE,4110,OXCT1,Unknown,SYBR-NFQ-MGB,22.91016904,0.970101197,2.600469579,Amp,FALSE,17075.50685,3,17,80.46920776,,,,,
H5,FALSE,4115,OXCT1,Unknown,SYBR-NFQ-MGB,21.21812487,0.905116423,2.623466433,Amp,FALSE,17075.50685,3,16,80.48641968,,,,,
H6,FALSE,4087,OXCT1,Unknown,SYBR-NFQ-MGB,20.22979288,0.921616745,2.64070199,Amp,FALSE,17075.50685,3,14,80.48641968,,,,,
H7,FALSE,4089,OXCT1,Unknown,SYBR-NFQ-MGB,19.70169911,0.907822181,2.634591798,Amp,FALSE,17075.50685,3,14,80.71278381,,,,,
H8,FALSE,4091,OXCT1,Unknown,SYBR-NFQ-MGB,21.86632854,0.963922746,2.626188084,Amp,FALSE,17075.50685,3,16,80.59960175,,,,,
H9,FALSE,4112,OXCT1,Unknown,SYBR-NFQ-MGB,33.27453321,0.990231669,2.604815766,Amp,FALSE,17075.50685,3,27,72.78561401,76.63252258,,,,
H10,FALSE,4106,OXCT1,Unknown,SYBR-NFQ-MGB,21.00427101,0.947458234,2.633282866,Amp,FALSE,17075.50685,3,13,80.59257507,,,,,
H11,FALSE,4102,OXCT1,Unknown,SYBR-NFQ-MGB,19.6822648,0.919106245,2.640418737,Amp,FALSE,17075.50685,3,13,80.93200684,,,,,
H12,FALSE,4111,OXCT1,Unknown,SYBR-NFQ-MGB,23.47841618,0.979361495,2.674830914,Amp,FALSE,17075.50685,3,17,80.70571899,,,,,
H13,FALSE,4098,OXCT1,Unknown,SYBR-NFQ-MGB,22.12009512,0.946523198,2.672460041,Amp,FALSE,17075.50685,3,13,80.91979218,,,,,
H14,FALSE,4093,OXCT1,Unknown,SYBR-NFQ-MGB,22.07856872,0.949914122,2.664442993,Amp,FALSE,17075.50685,3,16,80.80671692,,,,,
H15,FALSE,4097,OXCT1,Unknown,SYBR-NFQ-MGB,21.99189847,0.945956672,2.654530682,Amp,FALSE,17075.50685,3,16,80.91979218,,,,,
H16,FALSE,4095,OXCT1,Unknown,SYBR-NFQ-MGB,20.64145046,0.904417769,2.668976386,Amp,FALSE,17075.50685,3,15,80.80671692,,,,,
H17,FALSE,4108,OXCT1,Unknown,SYBR-NFQ-MGB,19.99002922,0.860880022,2.557569703,Amp,FALSE,17075.50685,3,14,81.679245,,,,,
H18,FALSE,4104,OXCT1,Unknown,SYBR-NFQ-MGB,21.38822186,0.939533635,2.60252751,Amp,FALSE,17075.50685,3,13,80.88887787,,,,,
H19,FALSE,4116,OXCT1,Unknown,SYBR-NFQ-MGB,21.44589561,0.931388588,2.626520672,Amp,FALSE,17075.50685,3,14,80.77597046,,,,,
H20,FALSE,4117,OXCT1,Unknown,SYBR-NFQ-MGB,21.93772526,0.951624276,2.620421436,Amp,FALSE,17075.50685,3,13,80.77597046,,,,,
H21,FALSE,4103,OXCT1,Unknown,SYBR-NFQ-MGB,21.23861373,0.912315534,2.623535442,Amp,FALSE,17075.50685,3,15,80.87153625,,,,,
H22,FALSE,4096,OXCT1,Unknown,SYBR-NFQ-MGB,21.48629204,0.947644698,2.617642705,Amp,FALSE,17075.50685,3,15,80.87153625,,,,,
H23,FALSE,4114,OXCT1,Unknown,SYBR-NFQ-MGB,20.44337772,0.93328095,2.565266463,Amp,FALSE,17075.50685,3,13,81.09716797,,,,,
H24,FALSE,4094,OXCT1,Unknown,SYBR-NFQ-MGB,20.17469262,0.872872338,2.605234548,Amp,FALSE,17075.50685,3,15,80.75871277,,,,,
I1,FALSE,4102,OXCT1,Unknown,SYBR-NFQ-MGB,21.66899548,0.893471423,2.603123082,Amp,FALSE,17075.50685,3,16,80.69538879,,,,,
I2,FALSE,4090,OXCT1,Unknown,SYBR-NFQ-MGB,22.7325841,0.939206616,2.619121346,Amp,FALSE,17075.50685,3,18,80.69538879,,,,,
I3,FALSE,4088,OXCT1,Unknown,SYBR-NFQ-MGB,21.51611147,0.898933773,2.594550409,Amp,FALSE,17075.50685,3,14,80.92156982,,,,,
I4,FALSE,4110,OXCT1,Unknown,SYBR-NFQ-MGB,22.33276028,0.970307442,2.608576355,Amp,FALSE,17075.50685,3,15,80.92156982,,,,,
I5,FALSE,4115,OXCT1,Unknown,SYBR-NFQ-MGB,20.86664155,0.90889558,2.630476904,Amp,FALSE,17075.50685,3,16,80.93914795,,,,,
I6,FALSE,4087,OXCT1,Unknown,SYBR-NFQ-MGB,19.88140014,0.89221485,2.637159167,Amp,FALSE,17075.50685,3,15,80.93914795,,,,,
I7,FALSE,4089,OXCT1,Unknown,SYBR-NFQ-MGB,19.59939944,0.889438336,2.628783747,Amp,FALSE,17075.50685,3,14,81.05233002,,,,,
I8,FALSE,4091,OXCT1,Unknown,SYBR-NFQ-MGB,21.45950435,0.939645278,2.643968092,Amp,FALSE,17075.50685,3,16,81.05233002,,,,,
I9,FALSE,4112,OXCT1,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,17075.50685,3,39,88.51267242,80.47942352,76.63252258,70.40957642,,
I10,FALSE,4106,OXCT1,Unknown,SYBR-NFQ-MGB,20.7185313,0.919921699,2.647208879,Amp,FALSE,17075.50685,3,13,81.04515076,,,,,
I11,FALSE,4102,OXCT1,Unknown,SYBR-NFQ-MGB,19.49224187,0.890335185,2.652828405,Amp,FALSE,17075.50685,3,14,81.04515076,,,,,
I12,FALSE,4111,OXCT1,Unknown,SYBR-NFQ-MGB,23.24757293,0.9712799,2.662719273,Amp,FALSE,17075.50685,3,17,81.15829468,,,,,
I13,FALSE,4098,OXCT1,Unknown,SYBR-NFQ-MGB,22.15776775,0.955202805,2.647282908,Amp,FALSE,17075.50685,3,16,81.14594269,,,,,
I14,FALSE,4093,OXCT1,Unknown,SYBR-NFQ-MGB,21.89674924,0.947775458,2.656599991,Amp,FALSE,17075.50685,3,16,81.14594269,,,,,
I15,FALSE,4097,OXCT1,Unknown,SYBR-NFQ-MGB,21.9929033,0.934224462,2.649642138,Amp,FALSE,17075.50685,3,16,81.03286743,,,,,
I16,FALSE,4095,OXCT1,Unknown,SYBR-NFQ-MGB,20.61998698,0.918161201,2.647041621,Amp,FALSE,17075.50685,3,15,81.14594269,,,,,
I17,FALSE,4108,OXCT1,Unknown,SYBR-NFQ-MGB,20.18053251,0.847733039,2.524396152,Amp,FALSE,17075.50685,3,15,81.7921524,,,,,
I18,FALSE,4104,OXCT1,Unknown,SYBR-NFQ-MGB,21.34486992,0.946209653,2.607028205,Amp,FALSE,17075.50685,3,14,81.00178528,,,,,
I19,FALSE,4116,OXCT1,Unknown,SYBR-NFQ-MGB,21.30879289,0.952993131,2.60048765,Amp,FALSE,17075.50685,3,15,81.00178528,,,,,
I20,FALSE,4117,OXCT1,Unknown,SYBR-NFQ-MGB,21.99324925,0.97359493,2.592917203,Amp,FALSE,17075.50685,3,16,81.00178528,,,,,
I21,FALSE,4103,OXCT1,Unknown,SYBR-NFQ-MGB,21.02928824,0.928999738,2.610891044,Amp,FALSE,17075.50685,3,15,81.09716797,,,,,
I22,FALSE,4096,OXCT1,Unknown,SYBR-NFQ-MGB,21.56189487,0.965405185,2.607557444,Amp,FALSE,17075.50685,3,16,80.98435211,,,,,
I23,FALSE,4114,OXCT1,Unknown,SYBR-NFQ-MGB,20.70329739,0.82134746,2.517881871,Amp,FALSE,17075.50685,3,16,81.54844666,,,,,
I24,FALSE,4094,OXCT1,Unknown,SYBR-NFQ-MGB,20.10583066,0.972289767,2.543136262,Amp,FALSE,17075.50685,3,14,81.09716797,,,,,
J1,FALSE,4102,Rplp0,Unknown,SYBR-NFQ-MGB,22.79591593,0.95596767,2.749100983,Amp,FALSE,56588.13845,3,17,83.97496796,,,,,
J2,FALSE,4090,Rplp0,Unknown,SYBR-NFQ-MGB,22.1723312,0.937069285,2.770152388,Amp,FALSE,56588.13845,3,16,83.97496796,,,,,
