Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A16,FALSE,8072,Slc16a1,Unknown,SYBR,25.25136483,0.9849299,1.536905471,Amp,FALSE,0.317744986,3,19,78.64754486,,,,,
A17,FALSE,8072,Slc16a1,Unknown,SYBR,24.5785503,0.988541219,1.397858872,Amp,FALSE,0.317744986,3,18,77.62226105,,,,,
A18,FALSE,8072,Slc16a1,Unknown,SYBR,24.17617435,0.985044193,1.621120222,Amp,FALSE,0.317744986,3,19,78.40795898,,,,,
B1,FALSE,4087,Slc16a1,Unknown,SYBR,26.97968898,0.925784511,1.608455002,Amp,FALSE,0.317744986,3,22,78.31660461,,,,,
B2,FALSE,4087,Slc16a1,Unknown,SYBR,23.24436575,0.960959791,1.599301736,Amp,FALSE,0.317744986,3,17,78.09187317,,,,,
B3,FALSE,4087,Slc16a1,Unknown,SYBR,23.28840606,0.966966194,1.597905493,Amp,FALSE,0.317744986,3,18,78.09187317,,,,,
B4,FALSE,4095,Slc16a1,Unknown,SYBR,22.91845658,0.97776316,1.625155659,Amp,FALSE,0.317744986,3,17,78.42897034,,,,,
B5,FALSE,4095,Slc16a1,Unknown,SYBR,23.19602451,0.976481107,1.619535477,Amp,FALSE,0.317744986,3,17,78.21894073,,,,,
B6,FALSE,4095,Slc16a1,Unknown,SYBR,23.15088571,0.979033306,1.61252347,Amp,FALSE,0.317744986,3,18,78.10647583,,,,,
B7,FALSE,4104,Slc16a1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0.317744986,3,39,83.39207458,73.72055817,78.44386292,61.57493591,,
B8,FALSE,4104,Slc16a1,Unknown,SYBR,23.35079419,0.98017794,1.621357436,Amp,FALSE,0.317744986,3,18,78.21894073,,,,,
B9,FALSE,4104,Slc16a1,Unknown,SYBR,23.24071264,0.973589534,1.626757967,Amp,FALSE,0.317744986,3,18,78.32545471,,,,,
B10,FALSE,4112,Slc16a1,Unknown,SYBR,24.8863717,0.992961482,1.631248089,Amp,FALSE,0.317744986,3,19,78.66271973,,,,,
B11,FALSE,4112,Slc16a1,Unknown,SYBR,24.89585682,0.991579643,1.642282319,Amp,FALSE,0.317744986,3,19,78.32545471,,,,,
B12,FALSE,4112,Slc16a1,Unknown,SYBR,25.02007455,0.98846968,1.618410706,Amp,FALSE,0.317744986,3,19,78.32545471,,,,,
B13,FALSE,8065,Slc16a1,Unknown,SYBR,24.16747256,0.986710742,1.625738272,Amp,FALSE,0.317744986,3,18,78.42288208,,,,,
B14,FALSE,8065,Slc16a1,Unknown,SYBR,24.25669741,0.987452973,1.631826376,Amp,FALSE,0.317744986,3,19,78.08587646,,,,,
B15,FALSE,8065,Slc16a1,Unknown,SYBR,24.31336512,0.986921865,1.635289529,Amp,FALSE,0.317744986,3,18,78.31054688,,,,,
B16,FALSE,8073,Slc16a1,Unknown,SYBR,23.51737336,0.989744687,1.621595922,Amp,FALSE,0.317744986,3,19,78.53520966,,,,,
B17,FALSE,8073,Slc16a1,Unknown,SYBR,23.61519662,0.985994205,1.621148021,Amp,FALSE,0.317744986,3,18,78.18347931,,,,,
B18,FALSE,8073,Slc16a1,Unknown,SYBR,23.36981939,0.987780312,1.635722928,Amp,FALSE,0.317744986,3,18,78.29572296,,,,,
C1,FALSE,4088,Slc16a1,Unknown,SYBR,Undetermined,0,0.513891961,No Amp,FALSE,0.317744986,3,27,69.66430664,77.19293213,72.81060028,92.36254883,,
C2,FALSE,4088,Slc16a1,Unknown,SYBR,24.6989158,0.984053974,1.619834796,Amp,FALSE,0.317744986,3,19,78.20423889,,,,,
C3,FALSE,4088,Slc16a1,Unknown,SYBR,24.89717264,0.985483168,1.60720994,Amp,FALSE,0.317744986,3,20,77.75476837,,,,,
C4,FALSE,4096,Slc16a1,Unknown,SYBR,23.10667313,0.969356993,1.614366145,Amp,FALSE,0.317744986,3,18,78.31660461,,,,,
C5,FALSE,4096,Slc16a1,Unknown,SYBR,21.79450888,0.917577517,1.555454881,Amp,FALSE,0.317744986,3,18,77.88156128,87.5530777,,,,
C6,FALSE,4096,Slc16a1,Unknown,SYBR,23.37039873,0.974138841,1.615295992,Amp,FALSE,0.317744986,3,17,78.10647583,,,,,
C7,FALSE,4105,Slc16a1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0.317744986,3,39,78.55632019,66.52315521,62.69952774,86.42848206,,
C8,FALSE,4105,Slc16a1,Unknown,SYBR,23.16312436,0.977730845,1.612896972,Amp,FALSE,0.317744986,3,17,78.21894073,,,,,
C9,FALSE,4105,Slc16a1,Unknown,SYBR,23.02963085,0.97218581,1.61188724,Amp,FALSE,0.317744986,3,17,78.21303558,,,,,
C10,FALSE,4113,Slc16a1,Unknown,SYBR,25.10639267,0.986457231,1.641436392,Amp,FALSE,0.317744986,3,19,78.43787384,,,,,
C11,FALSE,4113,Slc16a1,Unknown,SYBR,25.32425324,0.951058725,1.636755901,Amp,FALSE,0.317744986,3,20,78.21303558,,,,,
C12,FALSE,4113,Slc16a1,Unknown,SYBR,24.96348886,0.936062006,1.626534374,Amp,FALSE,0.317744986,3,20,78.21303558,,,,,
C13,FALSE,8066,Slc16a1,Unknown,SYBR,27.26150479,0.988280654,1.633241472,Amp,FALSE,0.317744986,3,20,78.31054688,,,,,
C14,FALSE,8066,Slc16a1,Unknown,SYBR,27.47544527,0.991237456,1.619204584,Amp,FALSE,0.317744986,3,20,78.08587646,,,,,
C15,FALSE,8066,Slc16a1,Unknown,SYBR,27.6171567,0.994264241,1.626670938,Amp,FALSE,0.317744986,3,22,78.19821167,,,,,
C16,FALSE,8074,Slc16a1,Unknown,SYBR,24.00567641,0.983880492,1.631828146,Amp,FALSE,0.317744986,3,20,78.42288208,,,,,
C17,FALSE,8074,Slc16a1,Unknown,SYBR,24.40522287,0.991685861,1.612118032,Amp,FALSE,0.317744986,3,18,78.07123566,,,,,
C18,FALSE,8074,Slc16a1,Unknown,SYBR,24.46878721,0.989662435,1.619902955,Amp,FALSE,0.317744986,3,19,78.18347931,,,,,
D1,FALSE,4089,Slc16a1,Unknown,SYBR,Undetermined,0,0.799857229,No Amp,FALSE,0.317744986,3,24,74.15901184,71.57455444,77.64240265,68.87773132,,
D2,FALSE,4089,Slc16a1,Unknown,SYBR,22.94272952,0.962520279,1.60549388,Amp,FALSE,0.317744986,3,17,78.09187317,,,,,
D3,FALSE,4089,Slc16a1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0.317744986,3,39,88.31731415,65.39434052,71.68692017,75.39505005,,
D4,FALSE,4097,Slc16a1,Unknown,SYBR,23.46688418,0.966940644,1.616261786,Amp,FALSE,0.317744986,3,18,78.09187317,,,,,
D5,FALSE,4097,Slc16a1,Unknown,SYBR,23.36846746,0.968917246,1.625724656,Amp,FALSE,0.317744986,3,17,78.21894073,,,,,
D6,FALSE,4097,Slc16a1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0.317744986,3,39,64.04904175,70.57169342,92.61375427,78.33139801,,
D7,FALSE,4106,Slc16a1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0.317744986,3,39,93.40097046,70.00939941,77.54418182,90.47702026,,
D8,FALSE,4106,Slc16a1,Unknown,SYBR,28.25585283,0.992573256,1.603190392,Amp,FALSE,0.317744986,3,21,77.88156128,,,,,
D9,FALSE,4106,Slc16a1,Unknown,SYBR,27.89831342,0.923814455,1.618239797,Amp,FALSE,0.317744986,3,23,77.87577057,,,,,
D10,FALSE,4114,Slc16a1,Unknown,SYBR,25.63455991,0.910138338,1.621429574,Amp,FALSE,0.317744986,3,21,77.9881897,,,,,
D11,FALSE,4114,Slc16a1,Unknown,SYBR,25.42878477,0.976532582,1.632305861,Amp,FALSE,0.317744986,3,20,78.21303558,,,,,
D12,FALSE,4114,Slc16a1,Unknown,SYBR,25.9853119,0.868164032,1.62347047,Amp,FALSE,0.317744986,3,23,77.76335144,,,,,
D13,FALSE,8067,Slc16a1,Unknown,SYBR,23.87445073,0.970087952,1.623337415,Amp,FALSE,0.317744986,3,18,78.53520966,,,,,
D14,FALSE,8067,Slc16a1,Unknown,SYBR,24.11050168,0.930666056,1.620139657,Amp,FALSE,0.317744986,3,18,77.97354889,,,,,
D15,FALSE,8067,Slc16a1,Unknown,SYBR,23.88748442,0.94502304,1.622390709,Amp,FALSE,0.317744986,3,20,78.19821167,,,,,
E1,FALSE,4090,Slc16a1,Unknown,SYBR,24.10207833,0.980774235,1.630885612,Amp,FALSE,0.317744986,3,18,78.20423889,,,,,
E2,FALSE,4090,Slc16a1,Unknown,SYBR,24.29563453,0.966999553,1.620062889,Amp,FALSE,0.317744986,3,18,77.97950745,,,,,
E3,FALSE,4090,Slc16a1,Unknown,SYBR,34.78282335,0.967300363,1.547330622,Amp,FALSE,0.317744986,3,27,77.30529785,,,,,
E4,FALSE,4098,Slc16a1,Unknown,SYBR,24.8248292,0.975849215,1.61760015,Amp,FALSE,0.317744986,3,20,78.20423889,,,,,
E5,FALSE,4098,Slc16a1,Unknown,SYBR,24.74931044,0.983761768,1.619904565,Amp,FALSE,0.317744986,3,20,78.21894073,,,,,
E6,FALSE,4098,Slc16a1,Unknown,SYBR,24.84405194,0.97631011,1.615237615,Amp,FALSE,0.317744986,3,19,78.10647583,,,,,
E7,FALSE,4107,Slc16a1,Unknown,SYBR,26.3014543,0.992887312,1.610123765,Amp,FALSE,0.317744986,3,19,78.10647583,,,,,
E8,FALSE,4107,Slc16a1,Unknown,SYBR,26.69482544,0.820810663,1.612122666,Amp,FALSE,0.317744986,3,23,77.54418182,,,,,
E9,FALSE,4107,Slc16a1,Unknown,SYBR,25.99190952,0.993501868,1.617577602,Amp,FALSE,0.317744986,3,21,77.9881897,,,,,
E10,FALSE,4115,Slc16a1,Unknown,SYBR,27.90334486,0.994448964,1.62878683,Amp,FALSE,0.317744986,3,22,78.55029297,,,,,
E11,FALSE,4115,Slc16a1,Unknown,SYBR,28.35577938,0.893787658,1.603327455,Amp,FALSE,0.317744986,3,20,77.42608643,,,,,
E12,FALSE,4115,Slc16a1,Unknown,SYBR,27.63465437,0.908241198,1.629668043,Amp,FALSE,0.317744986,3,22,77.76335144,,,,,
E13,FALSE,8068,Slc16a1,Unknown,SYBR,25.21236725,0.959037772,1.618200261,Amp,FALSE,0.317744986,3,21,78.08587646,,,,,
E14,FALSE,8068,Slc16a1,Unknown,SYBR,25.10878939,0.993672962,1.625144895,Amp,FALSE,0.317744986,3,19,78.08587646,,,,,
E15,FALSE,8068,Slc16a1,Unknown,SYBR,25.18589001,0.985484456,1.610122572,Amp,FALSE,0.317744986,3,20,78.19821167,,,,,
F1,FALSE,4091,Slc16a1,Unknown,SYBR,24.00944965,0.953539857,1.621051539,Amp,FALSE,0.317744986,3,19,78.31660461,,,,,
F2,FALSE,4091,Slc16a1,Unknown,SYBR,24.05693371,0.972880743,1.617822545,Amp,FALSE,0.317744986,3,19,78.20423889,,,,,
F3,FALSE,4091,Slc16a1,Unknown,SYBR,24.17773463,0.967541499,1.608734627,Amp,FALSE,0.317744986,3,18,77.97950745,,,,,
F4,FALSE,4099,Slc16a1,Unknown,SYBR,25.91429463,0.978347947,1.634370033,Amp,FALSE,0.317744986,3,18,78.09187317,,,,,
F5,FALSE,4099,Slc16a1,Unknown,SYBR,26.31949394,0.974293034,1.617195874,Amp,FALSE,0.317744986,3,20,78.21894073,,,,,
F6,FALSE,4099,Slc16a1,Unknown,SYBR,26.35845938,0.990829067,1.620113939,Amp,FALSE,0.317744986,3,19,78.10647583,,,,,
F7,FALSE,4108,Slc16a1,Unknown,SYBR,31.30021575,0.990116397,1.632507632,Amp,FALSE,0.317744986,3,25,78.44386292,,,,,
F8,FALSE,4108,Slc16a1,Unknown,SYBR,31.4119921,0.988699273,1.623769585,Amp,FALSE,0.317744986,3,26,78.33139801,,,,,
F9,FALSE,4108,Slc16a1,Unknown,SYBR,31.78971059,0.992076501,1.621799647,Amp,FALSE,0.317744986,3,26,78.21303558,,,,,
F10,FALSE,4116,Slc16a1,Unknown,SYBR,26.21716535,0.992135261,1.624684036,Amp,FALSE,0.317744986,3,21,78.55029297,,,,,
F11,FALSE,4116,Slc16a1,Unknown,SYBR,26.54584174,0.953622786,1.61770785,Amp,FALSE,0.317744986,3,19,78.10061646,,,,,
F12,FALSE,4116,Slc16a1,Unknown,SYBR,26.5032025,0.992100271,1.622525089,Amp,FALSE,0.317744986,3,19,78.21303558,,,,,
F13,FALSE,8069,Slc16a1,Unknown,SYBR,25.16353757,0.985297545,1.624329393,Amp,FALSE,0.317744986,3,19,78.64754486,,,,,
F14,FALSE,8069,Slc16a1,Unknown,SYBR,25.24896866,0.990499405,1.61576914,Amp,FALSE,0.317744986,3,19,78.19821167,,,,,
F15,FALSE,8069,Slc16a1,Unknown,SYBR,25.27098817,0.991511556,1.616045697,Amp,FALSE,0.317744986,3,18,78.19821167,,,,,
G1,FALSE,4092,Slc16a1,Unknown,SYBR,25.68897117,0.980823111,1.624231839,Amp,FALSE,0.317744986,3,20,78.31660461,,,,,
G2,FALSE,4092,Slc16a1,Unknown,SYBR,25.7983492,0.991426146,1.613487242,Amp,FALSE,0.317744986,3,22,78.09187317,,,,,
G3,FALSE,4092,Slc16a1,Unknown,SYBR,25.91713348,0.990446507,1.612472663,Amp,FALSE,0.317744986,3,20,77.86713409,,,,,
G4,FALSE,4100,Slc16a1,Unknown,SYBR,Undetermined,0,0.500308345,No Amp,FALSE,0.317744986,3,35,87.30600739,64.83250427,82.13710022,92.47491455,,
G5,FALSE,4100,Slc16a1,Unknown,SYBR,24.75953277,0.984449325,1.617727923,Amp,FALSE,0.317744986,3,19,78.10647583,,,,,
G6,FALSE,4100,Slc16a1,Unknown,SYBR,24.84152168,0.983030816,1.60405786,Amp,FALSE,0.317744986,3,19,78.10647583,,,,,
G7,FALSE,4109,Slc16a1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0.317744986,3,39,80.91796875,72.8208847,63.93658447,69.67201996,,
G8,FALSE,4109,Slc16a1,Unknown,SYBR,25.62176813,0.986048815,1.62852249,Amp,FALSE,0.317744986,3,21,78.21894073,,,,,
G9,FALSE,4109,Slc16a1,Unknown,SYBR,25.98723049,0.98628416,1.606766033,Amp,FALSE,0.317744986,3,20,78.10061646,,,,,
G10,FALSE,4117,Slc16a1,Unknown,SYBR,23.33711989,0.982084016,1.62451739,Amp,FALSE,0.317744986,3,18,78.55029297,,,,,
G11,FALSE,4117,Slc16a1,Unknown,SYBR,23.53072087,0.988232946,1.615684073,Amp,FALSE,0.317744986,3,18,78.32545471,,,,,
G12,FALSE,4117,Slc16a1,Unknown,SYBR,23.34795749,0.892157953,1.634834375,Amp,FALSE,0.317744986,3,18,77.76335144,,,,,
G13,FALSE,8070,Slc16a1,Unknown,SYBR,23.91878684,0.986262142,1.62125142,Amp,FALSE,0.317744986,3,18,78.64754486,,,,,
G14,FALSE,8070,Slc16a1,Unknown,SYBR,24.03336199,0.980596269,1.615378898,Amp,FALSE,0.317744986,3,19,77.97354889,,,,,
G15,FALSE,8070,Slc16a1,Unknown,SYBR,23.84693254,0.89128386,1.624622253,Amp,FALSE,0.317744986,3,16,78.08587646,,,,,
H1,FALSE,4093,Slc16a1,Unknown,SYBR,23.4629949,0.974533187,1.605527153,Amp,FALSE,0.317744986,3,18,78.20423889,,,,,
H2,FALSE,4093,Slc16a1,Unknown,SYBR,23.48111198,0.967396634,1.602119532,Amp,FALSE,0.317744986,3,19,78.09187317,,,,,
H3,FALSE,4093,Slc16a1,Unknown,SYBR,23.68792686,0.969759835,1.601872451,Amp,FALSE,0.317744986,3,17,77.97950745,,,,,
H4,FALSE,4102,Slc16a1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0.317744986,3,39,71.12508392,65.28197479,83.5978775,76.74346161,,
H5,FALSE,4102,Slc16a1,Unknown,SYBR,25.41846522,0.983538887,1.614502626,Amp,FALSE,0.317744986,3,19,78.21894073,,,,,
H6,FALSE,4102,Slc16a1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0.317744986,3,39,70.90907288,89.0150528,78.33139801,92.501297,,
H7,FALSE,4110,Slc16a1,Unknown,SYBR,27.11630707,0.987275576,1.625022862,Amp,FALSE,0.317744986,3,22,78.78123474,,,,,
H8,FALSE,4110,Slc16a1,Unknown,SYBR,27.26746172,0.977350771,1.614316417,Amp,FALSE,0.317744986,3,22,77.88156128,,,,,
H9,FALSE,4110,Slc16a1,Unknown,SYBR,27.23995168,0.956125802,1.629962083,Amp,FALSE,0.317744986,3,22,77.9881897,,,,,
H10,FALSE,8063,Slc16a1,Unknown,SYBR,23.50833533,0.978846878,1.615543391,Amp,FALSE,0.317744986,3,19,78.43787384,,,,,
H11,FALSE,8063,Slc16a1,Unknown,SYBR,23.31421137,0.952442216,1.628286498,Amp,FALSE,0.317744986,3,16,77.9881897,,,,,
H12,FALSE,8063,Slc16a1,Unknown,SYBR,23.65899788,0.981544685,1.611019658,Amp,FALSE,0.317744986,3,19,78.10061646,,,,,
H13,FALSE,8071,Slc16a1,Unknown,SYBR,24.02670841,0.979170021,1.619410952,Amp,FALSE,0.317744986,3,19,78.53520966,,,,,
H14,FALSE,8071,Slc16a1,Unknown,SYBR,24.41362011,0.978288488,1.60758499,Amp,FALSE,0.317744986,3,18,77.97354889,,,,,
H15,FALSE,8071,Slc16a1,Unknown,SYBR,25.09449275,0.968769703,1.468233963,Amp,FALSE,0.317744986,3,20,78.19821167,,,,,
