# File Name: 2024-01-15 Slc16a1.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: Bridgeslab
# Instrument Serial Number: 272530351
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2024-01-15 05:23:09 PM UTC
# Run End Data/Time: 2024-01-15 07:10:50 PM UTC
# Run Duration: 107 minutes 41 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-01-15 11:58:28 PM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-01-15 11:58:38 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"31","B7","FALSE","4100","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6212156656659504","","","21.27680256152648","0.9542746111493267","21.098794673216876","0.15785649351519732","TRUE","0.7266989469069179","TRUE","3","15","83.82551574707031","","",""
"32","B8","FALSE","1740","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.630991962642968","","","22.287062455034444","0.9707951786408285","22.243852556895018","0.0504941654335377","TRUE","0.7266989469069179","TRUE","3","15","83.93790435791016","","",""
"33","B9","FALSE","4089","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6179181263002513","","","23.146589296116886","0.978303697544212","22.95443254952644","0.20499229151583126","TRUE","0.7266989469069179","TRUE","3","15","83.69933319091797","","",""
"34","B10","FALSE","4087","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6329506556532507","","","23.93569176120048","0.9841581140826607","23.930714683355387","0.015648570367277313","TRUE","0.7266989469069179","TRUE","3","17","84.03628540039062","","",""
"35","B11","FALSE","4113","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6138143127055793","","","22.66772071561857","0.9834727148855283","22.4549679984394","0.45046226680921725","TRUE","0.7266989469069179","TRUE","3","15","83.92396545410156","","",""
"36","B12","FALSE","4109","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6170102550035736","","","19.639188101696448","0.9664819356505026","19.36077583306216","0.39126939092272556","TRUE","0.7266989469069179","TRUE","3","13","84.03628540039062","","",""
"37","B13","FALSE","4100","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.625868929124563","","","21.043754920786448","0.964648928973683","21.098794673216876","0.15785649351519732","TRUE","0.7266989469069179","TRUE","3","14","84.00250244140625","","",""
"38","B14","FALSE","1740","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6333580349566774","","","22.188345701242007","0.9713870227629815","22.243852556895018","0.0504941654335377","TRUE","0.7266989469069179","TRUE","3","15","84.11466217041016","","",""
"39","B15","FALSE","4089","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.63045466981451","","","22.978056632913486","0.9739420836888545","22.95443254952644","0.20499229151583126","TRUE","0.7266989469069179","TRUE","3","16","84.00250244140625","","",""
"40","B16","FALSE","4087","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6304898863495143","","","23.94326939131622","0.9890896130279516","23.930714683355387","0.015648570367277313","TRUE","0.7266989469069179","TRUE","3","17","84.00250244140625","","",""
"41","B17","FALSE","4113","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6862927391868694","","","21.937533900816966","0.9866701616563647","22.4549679984394","0.45046226680921725","TRUE","0.7266989469069179","TRUE","3","15","84.737060546875","","",""
"42","B18","FALSE","4109","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6695055074531897","","","18.91341926019517","0.9673798107418692","19.36077583306216","0.39126939092272556","TRUE","0.7266989469069179","TRUE","3","12","84.737060546875","","",""
"43","B19","FALSE",,"Rplp0","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.7266989469069179","TRUE","3","39","84.51319122314453","88.87860107421875","69.73793029785156","66.26799011230469"
"44","B20","FALSE",,"Rplp0","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.7266989469069179","TRUE","3","39","87.31153106689453","83.72965240478516","73.76754760742188","76.67782592773438"
"45","B21","FALSE",,"Rplp0","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.7266989469069179","TRUE","3","39","66.58906555175781","76.9752197265625","62.56861877441406","73.62484741210938"
"46","B22","FALSE",,"Rplp0","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.7266989469069179","TRUE","3","39","62.6802978515625","91.38182830810547","73.73652648925781","76.86354064941406"
