Gene Name,ENSEMBL Gene ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Uts2,ENSMUSG00000028963,0.482560681254149,0.121392379600824,1.24313235512675,0.0976504063305846,0.922209897272959,NA
Pappa,ENSMUSG00000028370,1.73459857172286,-0.120863389079888,0.6982380641619,-0.17309768012284,0.862574648421531,0.927321862746923
Pf4,ENSMUSG00000029373,11.8938867060016,0.120813285467297,0.29908555460526,0.40394222859325,0.686255202273194,0.814861044363044
Colgalt1,ENSMUSG00000034807,342.187730888038,-0.119855491793024,0.0990480748936967,-1.21007391533514,0.226250531341021,0.399047306008892
Rtf1,ENSMUSG00000027304,193.097017774486,-0.117371581872804,0.115459944409431,-1.01655671560514,0.309364354085424,0.494110610579851
Txndc16,ENSMUSG00000021830,126.392603760839,-0.117361302370028,0.136003814857832,-0.862926547264197,0.388177853545981,0.573534137780341
Nop56,ENSMUSG00000027405,72.8166530834218,-0.117237951543556,0.124868470919514,-0.938891544680836,0.347786430816911,0.534240098155875
Col20a1,ENSMUSG00000016356,13.1041641078134,-0.116488022559352,0.249819217269153,-0.466289278433887,0.641008452089183,0.781253640177148
Mesd,ENSMUSG00000038503,158.354429781685,0.115676410143371,0.127155090480562,0.909726930366617,0.362966538070075,0.548872262684537
Phf14,ENSMUSG00000029629,53.6444102026469,-0.114095820784057,0.147207375369412,-0.775068643794088,0.438299098860044,0.62001764076925
Col14a1,ENSMUSG00000022371,41.635444546469,0.113331478453756,0.22280391164869,0.508660182916597,0.610990436367663,0.759834321707263
Pltp,ENSMUSG00000017754,54.512052923083,-0.107220844065176,0.223853159939261,-0.478978470057195,0.631953945265328,0.775337208917779
Pglyrp1,ENSMUSG00000030413,1.93601196124518,0.106984031831366,0.67806324883440094,0.157778838501089,0.874631074203207,0.934065036474276
Cyhr1,ENSMUSG00000053929,425.135134685082,0.106473370066315,0.0806303086479704,1.32051299135136,0.186663801453242,0.349069167375279
Penk,ENSMUSG00000045573,22.4569733769023,-0.104963937286493,0.24812924190177,-0.423021230718332,0.672279771149398,0.80518060435895
Btbd6,ENSMUSG00000002803,119.965692005369,-0.104630342026713,0.161152841686369,-0.649261539119127,0.516169340974191,0.684975202252239
Cilp2,ENSMUSG00000044006,2.84744821229555,-0.10412576019974,0.539250478714021,-0.193093496083776,0.846885746180374,0.917672498541346
Htra4,ENSMUSG00000037406,18.5395759096234,0.102720675566424,0.468009776381627,0.219484038048518,0.826273012539723,0.904980999199142
Wfdc18,ENSMUSG00000000983,0.141395539234364,0.101186449849948,2.61671168875567,0.0386693154942359,0.96915403779178,NA
Fcrlb,ENSMUSG00000070524,0.127991950536679,0.101186245824034,2.68762067282242,0.0376490056231679,0.969967534758995,NA
Cer1,ENSMUSG00000038192,0.123363583197432,0.101186167294981,2.71441969775531,0.0372772741734288,0.970263925478567,NA
Bglap,ENSMUSG00000074483,0.122975421034476,0.101186160495947,2.71672751805479,0.0372456051714741,0.970289176150991,NA
CR974586.5,ENSMUSG00000096506,0.121315071426485,0.10118613102308,2.72670901295562,0.0371092516811684,0.970397895335947,NA
Grem1,ENSMUSG00000074934,0.120755080517379,0.101186120937311,2.73011635145516,0.0370629335571646,0.970434826446114,NA
Aoc1,ENSMUSG00000029811,0.117544784853565,0.101186061645469,2.75006192586267,0.0367941029596007,0.970649176022981,NA
Omg,ENSMUSG00000049612,0.109686021443645,0.101185904935773,2.80209509271487,0.036110803376675,0.971194008098385,NA
Vwce,ENSMUSG00000043789,0.108887830499087,0.101185888012823,2.8076564198489,0.036039270082152,0.971251046282595,NA
Prss27,ENSMUSG00000050762,0.10471244080447,0.101185796137616,2.83765882358686,0.0356581965726645,0.971554903639408,NA
Ism2,ENSMUSG00000050671,0.138896171463321,0.10118502643526,3.07754137796854,0.0328785267225395,0.973771456729624,NA
Hapln2,ENSMUSG00000004894,0.133799914349926,0.101184916385784,3.11032761082596,0.0325319159414574,0.97404786425244,NA
Defb25,ENSMUSG00000074678,0.133792954920429,0.101184916230831,3.11037353130851,0.0325314356016473,0.97404824730541,NA
Crh,ENSMUSG00000049796,0.110655944153573,0.10118431481529,3.28376850554304,0.0308134738013625,0.975418294983328,NA
Klk1b26,ENSMUSG00000053719,0.948746122877151,0.100540931985801,0.99982120855934,0.10055891105838,0.919900615532004,0.960031857566307
Pon3,ENSMUSG00000029759,254.919050187798,0.100286682993834,0.134391896468747,0.746225670066017,0.455531103837005,0.634712687936669
1190007I07Rik,ENSMUSG00000063320,45.2792244585965,0.0980596526162209,0.306193819415058,0.320253533541436,0.748776144448408,0.856505322725988
Csf3,ENSMUSG00000038067,0.386163671046567,-0.0975449651688703,1.4009426137547,-0.0696280948349751,0.94448967475776,NA
Orm3,ENSMUSG00000028359,0.339781706087046,-0.0974038916092478,1.66136702328474,-0.0586287618834925,0.953247801409738,NA
Ctsc,ENSMUSG00000030560,213.126756879576,-0.0959458516340715,0.160418034605521,-0.598098909951171,0.549773937557201,0.712447930290057
Col27a1,ENSMUSG00000045672,3.17618913616739,-0.0912103988262646,0.538578957556175,-0.1693538107024,0.865518352366081,0.929212839943206
Ltbp1,ENSMUSG00000001870,86.5274998041742,-0.091056259268375,0.136977327107449,-0.664754242115907,0.50620769398891,0.676989118678299
2810006K23Rik,ENSMUSG00000047635,14.7203356488691,0.0882514393749758,0.229631216474073,0.384318128563064,0.700742673163865,0.82389492757961
Poglut1,ENSMUSG00000034064,43.9799656828534,-0.0873509725728571,0.163054800546726,-0.535715429904349,0.592155238013508,0.745060623364145
Tsku,ENSMUSG00000049580,3.88519045914768,0.0867151263609641,0.496995915572348,0.174478549307798,0.861489387367366,0.926633536963134
Lrrc17,ENSMUSG00000039883,11.5231097688145,-0.0862320853799198,0.377797945749364,-0.228249217207569,0.819452501295312,0.900960055325923
Siae,ENSMUSG00000001942,35.4537249120797,0.0861610804105256,0.203182258927372,0.424058088857669,0.671523449998566,0.804763101896549
Hs3st1,ENSMUSG00000051022,7.9826851780452,-0.0860646803998124,0.314475023330991,-0.273677316208441,0.784332611480434,0.879263653799344
Bst1,ENSMUSG00000029082,3.21204203064496,-0.0859007411092399,0.567829338443365,-0.151279152543837,0.879755513868163,0.93722502641888
Arsb,ENSMUSG00000042082,19.7764184077195,-0.0819814747576507,0.207804765032304,-0.3945120062329,0.693203064808388,0.819596688382196
Fbln7,ENSMUSG00000027386,10.7832750610638,0.0815625709902718,0.297812236680205,0.273872463735783,0.78418263355437,0.879207221429632
Txndc12,ENSMUSG00000028567,62.5730842301166,0.0805251788035312,0.166914853452259,0.482432672335916,0.629498615972814,0.773931614757457
Podn,ENSMUSG00000028600,49.3142370551955,-0.0800859003570685,0.217725583092244,-0.367829536702347,0.71300034357527,0.832290429565163
Serpinf1,ENSMUSG00000000753,320.550722396517,-0.0796524401739411,0.206739205171421,-0.385279802676498,0.700030123846996,0.823751481643242
Serpine3,ENSMUSG00000091155,0.36127538224508,-0.0793071579466341,1.33923662136793,-0.05921818197118,0.952778327936763,NA
Wnt8b,ENSMUSG00000036961,0.385450509645631,-0.0787188720369243,1.49117485071053,-0.0527898334654822,0.957899361926177,NA
Chpf2,ENSMUSG00000038181,41.7492084574184,0.0780868961855024,0.166725404526692,0.468356315626758,0.639529802126533,0.780196994972287
Naxe,ENSMUSG00000028070,186.1527995468,0.0770795011530184,0.141883937624986,0.543257414780434,0.586952580472144,0.74088936627201
Ephx2,ENSMUSG00000022040,305.678013312432,-0.0770271540239941,0.210786570118351,-0.365427237516819,0.714792512408058,0.833677640750111
Adamtsl2,ENSMUSG00000036040,4.94155108532997,-0.0761618819983042,0.468745901516326,-0.162480102230081,0.870927796187936,0.931878939578838
Lgi2,ENSMUSG00000039252,7.423873101075,0.0759690919522888,0.424796829016674,0.17883629717327,0.858066243673833,0.924800467848197
Ces2g,ENSMUSG00000031877,5.39727417714445,-0.0743962114270254,0.402193540373813,-0.184976146951238,0.85324774467993,0.921549058257777
Fgf10,ENSMUSG00000021732,3.21750767275033,-0.0734139135828087,0.606045354495815,-0.121136005809142,0.903583310644031,0.950756314396695
Cdnf,ENSMUSG00000039496,197.500236391491,-0.0733943754254523,0.130042061171676,-0.564389511856167,0.572489075092273,0.729837092030398
Pcolce,ENSMUSG00000029718,159.068982593643,-0.0725489013001359,0.155710499843273,-0.46592170324518,0.641271545560031,0.781405025809108
Mrps7,ENSMUSG00000046756,631.763166811248,0.0714175432343009,0.0891452163315265,0.801137135263688,0.423052259932054,0.606222862330685
Fgl2,ENSMUSG00000039899,36.4810756146803,-0.069942470481322,0.284811200590385,-0.245574859192118,0.806011352801408,0.892549192795249
Dpp7,ENSMUSG00000026958,79.0377528795186,-0.0697766935226959,0.137634217239079,-0.506971993755661,0.612174469384012,0.760330601084087
Cxcl10,ENSMUSG00000034855,0.468412417020096,0.0688338483071064,1.2980029589749,0.0530305788836321,0.957707543559207,NA
Proz,ENSMUSG00000031445,0.925667708340853,-0.066789141354312,0.898621094648525,-0.0743240301747368,0.940752556594886,0.970914671492039
Angpt2,ENSMUSG00000031465,7.9511855393111,-0.0661706311939798,0.349740321501033,-0.189199320541553,0.849936600175997,0.919665626556462
Slc27a3,ENSMUSG00000027932,4.76089310157585,0.0660158810955104,0.40839389671549,0.161647570216998,0.871583394289405,0.932166779382263
Pros1,ENSMUSG00000022912,28.3181512502736,0.065212794449328,0.211660993527507,0.308100200053408,0.758006089008668,0.862387757911654
Ntn5,ENSMUSG00000070564,2.12081653311204,0.064700888695335,0.604209258688496,0.10708357703054,0.914722675876692,0.957773708558202
Mrps9,ENSMUSG00000060679,348.152578349308,-0.0639199289747675,0.164098569965411,-0.389521547861389,0.696890373927254,0.821654974959354
Creg1,ENSMUSG00000040713,370.742504228,0.0635757354208025,0.0972832227090922,0.653511814785517,0.513426375140429,0.682835231111081
Megf6,ENSMUSG00000057751,2.50504916964881,-0.0620525667283287,0.623092832427372,-0.0995879963609782,0.92067142396309,0.960452810657159
Plat,ENSMUSG00000031538,30.3918674853172,0.0618484827826329,0.236957420852115,0.261010955302524,0.794084058912803,0.885235111973397
Car11,ENSMUSG00000003273,59.7398515270912,-0.061700785962458,0.203758136019874,-0.302813851597268,0.76203172669163,0.864483798472916
Timp2,ENSMUSG00000017466,936.03612362585,0.0615085300471985,0.103593469542687,0.593749107146692,0.552679932830877,0.714565835571888
Ctsa,ENSMUSG00000017760,514.725741332877,0.0608368996776298,0.136003301735763,0.447319284908451,0.654644544739869,0.792266815133309
Cxcl14,ENSMUSG00000021508,350.223779476565,-0.0607661544415958,0.212514180242469,-0.285939292955718,0.774924618148586,0.87275322811303
